server,bus1,bus2,bus3,bus4,bus5,cloud
-0.5280265820030358,-1.3790768519444216,-1.2730027483445403,-1.7589089172182744,-2.0920194817623057,-2.1204277802083897,-0.19879592064171836
-0.02384718869748602,-0.26193968449354627,-0.0071795347480996296,-0.0624169906007634,-0.11813245172420501,-0.036883823646524,-0.1529145953158087
-0.14764309146514318,-0.20711815639930992,-0.039035978177310394,-0.17880632891086914,-0.1005812026065916,-0.20378676005836632,-0.1838294653654135
-0.11677023952819576,-0.11836306096332627,-0.11277560632315743,-0.22402030410884702,-0.25386309249920574,-0.09636081397214107,-0.17269624458043356
-0.08022349187984659,-0.1245339116981952,-0.12974301700483973,-0.12994717343707515,-0.1739604322536637,-0.1635161499597592,-0.1680521974272325
-0.023560412477013754,-0.16256104872715862,-0.06660465872564017,-0.14041842264857998,-0.23300615459451487,-0.21922699439000504,-0.14770818696344745
-0.10916506356949406,-0.12008998257346207,-0.20372922199932175,-0.10834202382447039,-0.1367140491263018,-0.14003168999697796,-0.16060183084367705
-0.07960905362685372,-0.11504039876187998,-0.12781741253451684,-0.12606924932359018,-0.12498711105808459,-0.1258673411020644,-0.1427896652959461
-0.07479976933497004,-0.10022042795033795,-0.11292171162140884,-0.053092261342138035,-0.09801332228071931,-0.11586320609125604,-0.12688978686240815
-0.04465334846748229,-0.07612640920853989,-0.07127031637273674,-0.10235266402944969,-0.1299521318390251,-0.08932426961113918,-0.11608630196159926
-0.06318938267326525,-0.0801844924398133,-0.07446381036363038,-0.07720818725065204,-0.11341473267524288,-0.09428128189179999,-0.11007182016621846
-0.08145814400379774,-0.1137107926620192,-0.09682517559517786,-0.1059047542542213,-0.10983585176067537,-0.03467621348688306,-0.11809520563035127
-0.014132238163750055,-0.02791016256500048,-0.03930692177397261,-0.04562761216428207,-0.05055337874783553,-0.026091968747192558,-0.09612387527645687
-0.02108744979051144,-0.042335856694628006,-0.10222154962467381,-0.09420583868919773,-0.05247441684492095,-0.06869350598530245,-0.10200233105135682
-0.0673858419866723,-0.1015656790295265,-0.12225333685409506,-0.06003816239763601,-0.09265245551613747,-0.14283105214214023,-0.10910403969720134
-0.04865945670700228,-0.07222198355045567,-0.10702415602095314,-0.062109893432977833,-0.0729826238641225,-0.09082558856911893,-0.0903612013844202
-0.03581408787056889,-0.0609427231299287,-0.06560319913176475,-0.08379796838953807,-0.08224583550347184,-0.07139664576052566,-0.09719357267856224
-0.06233173566695254,-0.0741174995116123,-0.1311284374260777,-0.10026074583363766,-0.07300290372130426,-0.06967476115515187,-0.10185645055439471
