server,bus1,bus2,bus3,bus4,bus5,cloud
379,294,269,263,186,212,897
504,313,160,284,296,282,661
610,310,292,296,304,274,414
605,298,295,306,294,277,425
592,312,278,302,306,290,420
600,310,271,308,304,294,413
598,317,290,302,295,289,409
608,318,295,303,295,287,394
605,320,288,291,295,295,406
600,311,288,282,305,295,419
607,317,289,287,301,293,406
605,318,293,303,291,295,395
604,314,294,298,297,297,396
587,316,292,300,290,295,420
600,314,291,284,292,298,421
605,322,296,291,287,296,403
601,307,291,285,296,292,428
598,315,290,299,292,289,417
600,309,299,281,280,292,439
597,306,290,304,290,293,420
607,306,294,290,282,294,427
605,311,294,296,297,293,404
595,312,298,288,283,296,428
590,312,305,295,300,296,402
603,307,301,283,292,296,418
608,306,296,263,292,288,447
599,305,295,273,297,296,435
613,299,290,288,294,300,416
613,302,291,282,287,292,433
597,310,295,280,300,295,423
589,301,299,287,308,297,419
594,288,292,281,306,294,445
602,290,297,282,305,292,432
597,297,273,295,303,288,447
602,295,298,290,300,292,423
595,292,295,305,299,294,420
594,294,288,271,304,295,454
591,302,285,261,306,299,456
590,302,282,262,306,304,454
596,291,275,295,300,301,442
592,297,283,305,302,296,425
599,302,287,270,309,295,438
601,295,265,270,304,288,477
592,308,252,291,298,300,459
594,301,258,283,301,294,469
599,304,288,276,306,296,431
585,301,284,297,300,302,431
589,301,290,283,302,304,431
590,300,269,299,304,299,439
599,306,296,275,300,299,425
585,297,288,288,305,303,434
589,315,287,294,310,300,405
577,310,251,267,307,302,486
579,303,268,280,309,301,460
582,310,277,261,310,305,455
585,316,294,278,305,304,418
583,315,294,273,305,301,429
592,306,272,298,302,299,431
566,305,256,294,303,303,473
586,305,282,272,296,306,453
581,309,293,276,303,304,434
584,296,288,272,298,304,458
585,282,306,255,300,302,470
598,262,301,271,301,303,464
595,301,292,272,305,302,433
580,297,301,250,302,304,466
597,308,302,288,298,297,410
593,303,279,295,293,304,433
596,294,287,249,297,301,476
593,284,275,263,302,299,484
591,289,269,275,309,300,467
595,311,286,263,301,303,441
597,307,268,273,303,299,453
587,304,271,285,310,298,445
596,301,299,262,307,302,433
595,307,292,262,308,303,433
591,301,279,256,304,303,466
593,281,253,230,300,303,540
596,299,293,263,298,307,444
599,304,293,247,304,309,444
594,300,298,261,301,307,439
