server,bus1,bus2,bus3,bus4,bus5,cloud
-0.4870858739682921,-0.6038538041165585,-0.9834522560099375,-0.3118404333729744,-0.5560827133140506,-0.49955211130894916,-0.1832292472171202
-0.17673664341522563,-0.1948339813853447,-0.050316785937371974,-0.13993237029331856,-0.17085280724278862,-0.3079134581540478,-0.15343398525743893
-0.12852418541447483,-0.1312138275466777,-0.11392305751592914,-0.11870730850024809,-0.12345415069326375,-0.21829559226938672,-0.14460973431453295
-0.07511174594543427,-0.08975597461839467,-0.15504768710011566,-0.09815057410098289,-0.10886221658703026,-0.13738611919770966,-0.1294375284233936
-0.10268575320847333,-0.08158040844757203,-0.0828569021362561,-0.11332941474138153,-0.1014237226015577,-0.09251553497660332,-0.11807701002114306
-0.07445999536135375,-0.04761369728677866,-0.08450485739702607,-0.07106093001090052,-0.11007495708995477,-0.10721065372278725,-0.10669020825260829
-0.1042930577930092,-0.12729250964491348,-0.06857648099780549,-0.11159621484432869,-0.07893164542338031,-0.13121647957583357,-0.11365576495110263
-0.07973653415158537,-0.11899393262833668,-0.08152814442554915,-0.09520417401913979,-0.09965531649387634,-0.11729715737736912,-0.14474000110675084
-0.07311853251203886,-0.10147038914004912,-0.0661730592433393,-0.10939949811547969,-0.10416052235378544,-0.08475540839422603,-0.14783546943935014
-0.08402495244565493,-0.10176150451517293,-0.09465602261890503,-0.0912137019132264,-0.11127139001258532,-0.1035199805456788,-0.12680559540677075
-0.0813459401230156,-0.08131568016312297,-0.10186101735981343,-0.0985869537350883,-0.0869868958836048,-0.08481758941491731,-0.12224849969536886
-0.07346943277937437,-0.05689266868470777,-0.07915648748847345,-0.07070080136801382,-0.09956927280087588,-0.12425939750295908,-0.13154845811679924
-0.07959034510654303,-0.03852014009934594,-0.06040223881543049,-0.06130351470362123,-0.07648649969201611,-0.08408968779050745,-0.1077696707278567
-0.04710233514896995,-0.11512115068939345,-0.07986304937323596,-0.10605856558135053,-0.07907767876510058,-0.12553850849030782,-0.11241344387164762
-0.07902111721139544,-0.08649051947075703,-0.09903326070824522,-0.08715476552344689,-0.08566942043771703,-0.08308555539807369,-0.11731891975411708
-0.09559473772013191,-0.0816812058569748,-0.05983458190742746,-0.0705931986206335,-0.07379958587055682,-0.07698610843506935,-0.09632412605022694
-0.0672073042602528,-0.0796153209587979,-0.07101237761492349,-0.09578002816579256,-0.0606005175088411,-0.09286000707972433,-0.09280683724527836
-0.06432451328243756,-0.08419917728048189,-0.06220181593499849,-0.1009238311253187,-0.07902723994062935,-0.10324705877360198,-0.11097270767519621
-0.08262094816741057,-0.08687336485916898,-0.09092130660580768,-0.09197567866312999,-0.054701997812647604,-0.082159610393337,-0.09609807421658022
-0.062482157608789834,-0.08294553561349188,-0.04798710739243924,-0.04956221011713067,-0.07563521566725613,-0.09172894102835781,-0.09943329565641319
-0.0811469128691686,-0.08338576644142211,-0.04993804147201893,-0.04074255096983996,-0.0936006181754189,-0.13170109517698816,-0.11279380581174739
-0.055937883098547095,-0.052764058334867324,-0.038362958959286896,-0.03079305611906277,-0.05469450663660652,-0.09675151736005423,-0.07906336077392473
-0.04434436311911829,-0.06583113890161739,-0.052510262545324995,-0.05051877024696562,-0.04865886484448603,-0.08130551595285564,-0.10084495108909924
-0.040200406933154194,-0.07129313194262456,-0.048531264680707314,-0.06928905718147246,-0.05001281692247278,-0.0942781886076739,-0.11442185731402606
-0.06399068627481566,-0.06496939716934229,-0.06321583510783228,-0.05821900743155485,-0.047335541632343964,-0.10383048825506012,-0.08546882804760349
-0.05724868069100193,-0.07208658369551606,-0.05786596790013971,-0.061929011760300655,-0.076062703392273,-0.05873896530906847,-0.09041730972439346
-0.04255955430001935,-0.057050078875627463,-0.04267357998571355,-0.055797167157202454,-0.05444031859118513,-0.0598614607371574,-0.06410529072043349
-0.03812641195968843,-0.030915220265093267,-0.05391938529112587,-0.028509009535795098,-0.06679647218504954,-0.049983339149899914,-0.09655010344117564
-0.051388813999873044,-0.030469623041579904,-0.04513712984809514,-0.02952604477451495,-0.05345357856133141,-0.04954171425140602,-0.05932179492219617
-0.059330153378375404,-0.0713514935663578,-0.06159229500833411,-0.046336977668726735,-0.04877450456452771,-0.0689043803983071,-0.08747700541241135
-0.05729923924510112,-0.06808802968497904,-0.10582433954972228,-0.07149715836391024,-0.04269313065690767,-0.067970077226307,-0.08748901572999031
