server,bus1,bus2,bus3,bus4,bus5,cloud
402,345,351,384,354,352,312
487,332,347,333,339,317,345
511,321,306,323,312,298,429
497,318,311,283,289,319,483
463,272,291,278,281,277,638
515,273,256,251,270,250,685
597,241,256,247,269,301,589
541,267,218,302,299,297,576
573,303,185,309,308,302,520
583,292,168,302,304,302,549
590,299,158,311,308,295,539
584,298,148,312,306,305,547
578,222,177,313,300,300,610
583,125,188,314,305,305,680
583,142,174,315,298,297,691
577,79,222,312,302,303,705
578,73,88,314,295,300,852
581,47,257,313,294,307,701
576,33,279,318,298,307,689
588,21,312,311,296,306,666
601,194,297,294,291,309,514
596,144,296,286,302,316,560
597,287,267,222,299,285,543
610,280,301,266,297,300,446
600,290,303,271,300,297,439
597,291,304,271,300,292,445
587,297,310,287,305,306,408
590,297,309,290,298,301,415
587,303,311,299,300,284,416
579,300,302,289,295,303,432
588,292,309,303,296,298,414
593,286,310,301,295,287,428
590,273,308,296,301,300,432
589,272,298,291,305,306,439
597,255,298,297,301,296,456
596,296,304,210,213,255,626
596,298,301,140,194,154,817
613,305,307,0,6,0,1269
607,310,312,0,1,0,1270
601,313,314,0,0,1,1271
592,309,313,1,0,1,1284
601,306,306,0,13,87,1187
588,305,312,0,243,290,762
578,307,297,0,306,310,702
586,299,308,0,301,306,700
587,290,312,2,309,306,694
588,149,314,158,307,280,704
586,0,317,310,313,294,680
582,0,312,307,305,298,696
589,0,310,313,304,289,695
609,3,295,10,9,5,1569
602,0,307,84,156,49,1302
615,0,314,0,3,0,1568
615,0,320,0,0,0,1565
619,0,316,0,0,0,1565
617,0,317,1,0,1,1564
603,0,318,0,0,0,1579
609,0,318,0,0,0,1573
608,0,307,0,291,0,1294
600,192,300,0,306,0,1102
597,309,298,0,311,0,985
600,243,240,58,307,170,882
