server,bus1,bus2,bus3,bus4,bus5,cloud
-0.08434243330500647,-0.11492714621591867,-0.7405252556309376,-0.10895673208909824,-0.13970964302550024,-0.11721225567274697,-0.08927843887454626
-0.03958515707504096,-0.0398541585951931,-0.9468403914509219,-0.0443716083012016,-0.016674321328297548,-0.031963680598119354,-0.047199670788126764
-0.05178361295890932,-0.06726141887566135,-1.142283534904252,-0.08933225078061656,-0.07827075209557073,-0.04658907002760748,-0.05930281280353999
-0.05403861000407136,-0.10346685955911572,-0.14082435689845477,-0.07984852020388768,-0.08168614939006799,-0.06648521668144108,-0.07091915553048776
-0.0640766777809789,-0.20238763266447937,-0.28130391939289395,-0.08176372877693716,-0.08547296853245381,-0.11639608385522802,-0.07161902060968499
-0.05819829787492783,-0.1354822623935842,-0.3136411497618169,-0.0627101538146994,-0.07591285337094772,-0.09652747991484022,-0.08171123516563569
-0.03664160943697769,-0.11196904399251505,-0.4913732634438194,-0.043987311301183475,-0.06987189564604933,-0.04746354310643642,-0.07013062203014926
-0.03571645447036197,-0.05097005226734101,-0.5688476350150741,-0.022421396136696563,-0.046842170829784376,-0.03774600538677775,-0.03809120781387418
-0.022420482052905318,-0.031524799653065844,-0.8839504022692007,-0.024173104663536116,-0.0412932553505672,-0.03375276027641555,-0.05146267736766641
-0.028748693255319504,-0.05198596108210353,-0.9543369515824833,-0.028817956798434137,-0.042347522618572726,-0.04396479408775011,-0.04362356982002784
-0.021233182214944565,-0.042353976025816004,-1.1309933936369987,-0.030391125791104017,-0.04060276715085815,-0.03179838008711115,-0.055702129204568886
-0.03715840792011441,-0.03036821696681688,-0.27520270005765857,-0.048441758259979525,-0.056523420421504655,-0.06964408356178613,-0.05674392483281635
-0.0845508724527328,-0.1490794811453187,-0.1865590136725219,-0.06968917732549146,-0.08076266528231096,-0.06337228443916966,-0.07339444225770825
-0.053110066248047795,-0.25017365929934465,-0.08624914590802349,-0.049864058146103944,-0.059305219491823054,-0.07041975523606418,-0.057023821721170966
-0.034523516499667575,-0.3032324506460742,-0.12359495107020321,-0.02637124955385826,-0.044151484845470775,-0.05968222561556092,-0.052095053278142976
-0.022381192168975078,-0.8681583797890859,-0.07801817736155992,-0.028436527610845426,-0.04058498216877114,-0.03923348107641282,-0.054675822836706724
-0.042777623232172164,-0.8356876506049495,-0.14074697509521952,-0.02914819080416362,-0.06948532248329173,-0.05313156104852284,-0.057357327131089306
-0.030060367603435615,-0.5972714818335577,-0.027543234349773973,-0.04375874144293303,-0.051731204459810845,-0.06290771437194656,-0.03336785209829921
-0.013398720359129274,-0.41704235355694697,-0.05688850830412066,-0.03138359504864848,-0.031149726057924442,-0.026951108272475,-0.03582843161482818
-0.016330576721058237,-0.16397588797355975,-0.03208279573997922,-0.03663096775011275,-0.045641158581710486,-0.02861510729708097,-0.0542916279257469
-0.015418031766593633,-0.05136568375192323,-0.04149900990019719,-0.015212173216722153,-0.039845271632563434,-0.024922031278276673,-0.055287523682994236
-0.019738808351524764,-0.05606822129106046,-0.020221409580176906,-0.02196226404348693,-0.023471262696970543,-0.02552504686220064,-0.016428694042917535
-0.018276316300155197,-0.032172795015704976,-0.0057200127954209826,-0.01979900218193998,-0.019265829192956208,-0.0205670045218154,-0.020823724942656316
-0.009275475818642489,-0.022420351280308184,-0.033465051406792706,-0.019533841239210998,-0.029266691398068406,-0.01475024955255408,-0.036016556195046005
