server,bus1,bus2,bus3,bus4,bus5,cloud
511,277,249,214,223,226,800
614,290,284,293,303,310,406
612,292,282,282,307,319,406
604,293,281,294,303,316,409
596,302,290,299,301,311,401
615,300,289,299,300,320,377
605,295,286,299,300,311,404
613,303,290,295,298,309,392
582,300,294,297,308,309,410
601,304,287,294,304,308,402
579,304,295,302,306,303,411
600,310,296,305,295,301,393
603,310,295,298,298,301,395
609,306,295,300,299,302,389
581,298,301,303,302,300,415
588,301,297,306,301,306,401
592,299,298,299,307,301,404
596,298,309,297,293,304,403
570,307,306,294,300,297,426
583,309,294,300,297,302,415
594,308,298,311,297,303,389
596,308,305,303,302,298,388
547,306,299,303,299,300,446
582,303,304,305,301,304,401
565,298,306,304,304,303,420
581,303,301,303,301,304,407
595,300,305,309,302,303,386
595,304,307,306,300,305,383
583,303,306,308,299,302,399
590,298,303,305,296,303,405
593,304,302,296,306,297,402
558,305,302,293,302,296,444
584,297,305,303,305,300,406
577,300,307,308,309,299,400
557,302,304,306,306,298,427
570,303,301,302,306,294,424
583,301,305,302,301,303,405
583,299,306,305,302,299,406
592,295,302,307,306,296,402
589,283,305,302,308,300,413
594,294,309,297,303,298,405
581,299,306,302,305,304,403
571,305,299,302,307,301,415
595,296,303,308,301,303,394
577,301,301,301,302,304,414
588,288,304,310,297,305,408
590,301,305,311,298,299,396
583,300,306,308,307,302,394
592,295,303,306,299,303,402
591,298,303,303,304,297,404
551,291,307,304,310,300,437
586,285,306,306,310,298,409
592,298,309,303,303,297,398
593,300,308,308,300,297,394
583,304,309,274,292,295,443
565,297,306,306,308,300,418
595,301,307,307,300,302,388
573,307,306,297,300,299,418
578,301,305,300,302,296,418
562,295,301,284,304,295,459
589,299,307,304,304,305,392
588,300,307,299,307,292,407
580,290,303,295,312,294,426
591,291,305,306,308,301,398
585,299,303,299,303,296,415
590,297,305,292,305,293,418
597,290,308,306,303,295,401
603,282,308,291,310,297,409
580,295,306,302,309,284,424
580,290,301,302,310,300,417
583,302,305,302,304,300,404
587,290,305,299,304,303,412
593,291,305,300,309,302,400
589,294,302,302,305,301,407
579,304,303,291,306,304,413
588,301,300,302,305,302,402
589,299,299,301,307,302,403
587,292,303,269,313,292,444
591,291,292,298,309,298,421
580,299,296,309,313,306,397
576,299,295,296,298,293,443
