server,bus1,bus2,bus3,bus4,bus5,cloud
309,261,283,184,249,202,1012
479,291,304,288,218,215,705
471,290,301,306,303,284,545
602,293,305,294,310,290,406
603,295,301,310,310,288,393
608,290,303,313,312,286,388
608,293,299,309,312,281,398
614,291,301,307,307,289,391
607,294,300,300,308,287,404
615,290,303,303,299,277,413
614,289,303,307,300,292,395
623,290,299,299,296,287,406
614,298,300,301,297,290,400
592,286,298,295,287,279,463
612,288,301,301,294,284,420
610,290,303,288,284,286,439
612,296,294,305,292,287,414
607,288,299,301,301,289,415
614,292,300,299,293,281,421
610,292,297,303,296,278,424
614,291,300,292,305,289,409
614,291,301,303,295,282,414
611,287,301,294,293,281,433
607,292,303,275,295,286,442
610,294,299,294,298,284,421
608,293,303,277,302,297,420
612,293,298,298,302,293,404
612,293,298,296,303,299,399
605,293,300,298,295,295,414
603,294,296,295,290,294,428
595,294,299,295,299,300,418
587,302,300,293,294,292,432
601,298,303,289,294,300,415
597,298,309,280,295,296,425
597,298,307,294,299,290,415
598,295,308,296,298,291,414
589,299,297,295,297,301,422
596,297,301,285,305,296,420
587,295,303,286,300,295,434
601,296,313,287,295,301,407
607,296,300,277,301,296,423
600,299,303,284,298,295,421
601,297,298,310,297,304,393
602,293,300,302,298,295,410
594,293,299,301,299,299,415
607,297,305,263,295,261,472
597,296,284,257,277,174,615
604,299,299,277,281,231,509
603,294,291,252,282,188,590
601,299,301,292,258,205,544
598,301,297,288,280,239,497
606,307,296,265,293,252,481
616,297,289,224,283,263,528
612,295,271,277,279,260,506
608,298,297,273,286,232,506
597,294,302,278,253,191,585
601,293,301,274,295,212,524
599,296,302,282,284,191,546
608,298,292,267,295,197,543
586,296,301,273,289,181,574
558,299,303,272,281,180,607
580,299,311,255,276,242,537
611,302,301,235,269,256,526
596,311,297,293,202,233,568
606,305,302,289,253,240,505
597,301,300,298,263,247,494
590,301,299,290,247,168,605
591,297,295,290,240,111,676
608,296,295,304,264,193,540
531,303,302,304,272,225,563
578,299,304,295,271,284,469
540,300,310,296,281,276,497
554,296,311,307,286,299,447
564,297,308,307,288,286,450
578,299,307,306,290,272,448
549,301,296,298,292,297,467
585,298,306,296,292,280,443
565,299,303,298,297,292,446
569,301,309,298,290,300,433
564,305,310,295,295,303,428
572,298,304,298,289,297,442
