server,bus1,bus2,bus3,bus4,bus5,cloud
24,15,108,62,29,140,122
21,51,82,104,14,202,26
16,102,83,39,84,137,39
15,225,24,64,19,111,42
94,89,49,30,17,199,22
164,70,9,22,22,198,15
247,34,29,10,29,142,9
139,144,17,16,64,108,12
88,54,34,11,92,210,11
42,170,36,76,80,79,17
28,120,35,31,191,83,12
12,162,159,61,29,64,13
153,62,138,19,17,98,13
121,36,93,74,40,126,10
147,118,97,47,14,65,12
118,59,137,26,48,103,9
24,55,185,28,100,89,19
37,33,107,81,188,40,14
172,25,114,76,16,81,16
249,14,87,28,17,94,11
167,13,56,120,37,92,15
191,20,55,101,62,60,11
186,45,45,59,81,71,13
53,49,65,115,172,31,15
38,54,83,58,231,19,17
164,8,178,19,108,16,7
150,13,102,64,132,28,11
218,22,50,47,143,16,4
202,7,224,10,39,12,6
248,7,74,80,70,17,4
236,5,93,32,81,46,7
189,6,150,20,96,31,8
184,6,54,9,46,193,8
189,10,29,14,41,208,9
206,8,60,18,60,141,7
226,13,80,90,75,10,6
228,8,15,74,106,62,7
145,4,11,181,99,52,8
155,20,9,78,191,38,9
91,29,8,98,257,9,8
161,10,34,11,27,253,4
373,5,10,9,57,43,3
258,11,27,9,23,163,9
180,110,4,40,2,150,14
147,9,36,11,19,271,7
223,3,14,17,18,213,12
291,17,16,115,13,33,15
183,69,178,35,8,17,10
183,7,175,14,10,105,6
360,4,6,19,5,98,8
394,0,0,36,0,70,0
423,0,3,50,0,24,0
336,0,28,18,9,109,0
292,1,0,55,50,102,0
23,36,0,193,206,42,0
282,1,0,183,28,6,0
252,6,0,150,56,36,0
190,0,0,260,0,50,0
219,0,0,135,31,115,0
167,0,18,96,122,97,0
168,0,12,116,151,53,0
173,0,4,91,206,26,0
71,0,10,163,241,15,0
143,0,10,133,214,0,0
169,0,26,163,136,6,0
240,0,43,88,128,1,0
292,0,23,82,97,6,0
273,0,60,122,42,3,0
221,0,88,112,18,61,0
246,0,29,189,0,36,0
343,0,97,47,0,13,0
230,0,4,217,15,34,0
333,0,38,56,9,64,0
266,0,177,18,0,39,0
239,0,129,34,6,92,0
131,3,95,28,54,189,0
144,0,82,8,257,9,0
189,0,88,48,175,0,0
172,55,72,88,93,20,0
77,109,91,104,86,33,0
147,0,61,136,111,45,0
168,0,107,106,46,73,0
129,0,102,65,129,75,0
149,0,101,102,83,65,0
355,0,37,40,68,0,0
214,5,46,58,147,30,0
153,46,10,109,49,133,0
137,166,14,75,62,46,0
278,3,85,62,70,2,0
357,53,11,61,18,0,0
283,12,9,65,87,44,0
167,21,22,124,166,0,0
253,0,18,91,125,13,0
337,4,6,60,91,2,0
167,16,28,161,118,10,0
233,4,23,132,98,10,0
