server,bus1,bus2,cloud
-0.5256294084704072,-0.4113788498971548,-0.5889154399302607,-0.2160557487416519
-0.051966781170036315,-0.1968456113094791,-0.035937260403236033,-0.21887378814365668
-0.239372455364208,-0.27291746746821494,-0.026140770134019893,-0.21010502309619114
-0.2342193479283663,-0.21598511406251916,-0.2791588499936148,-0.21750976268426916
-0.19359525261834723,-0.24582992049563657,-0.12005138889857074,-0.20555296599170025
-0.202960014189055,-0.23699086743061581,-0.11612691118507738,-0.20560532401397988
-0.2001171123193798,-0.2226082094737676,-0.11865360425661417,-0.19390476739670862
-0.19858055389302778,-0.21960026275530892,-0.10328159962346108,-0.19103174022285585
-0.15666875437579939,-0.20369420409783748,-0.07815416646835568,-0.19162831537076905
-0.18571577013147447,-0.22903159115995428,-0.12830772735595208,-0.20096940156143892
-0.14623690928949823,-0.21514645124284057,-0.166113678559631,-0.19328654750053767
-0.15812526437565272,-0.15697328453982926,-0.1470566195685555,-0.1800339432221163
-0.14246156724999715,-0.16703376635198566,-0.11647882261367298,-0.16210111496964882
-0.09785313602556715,-0.16948132238681596,-0.1103161095380388,-0.16195335246013037
-0.07784486629720067,-0.14424576837271058,-0.0756030247286168,-0.14667381936033422
-0.04946080028582243,-0.16513428784375994,-0.058572060561726105,-0.13831022770223908
-0.06301354421541894,-0.10667084899770365,-0.08999689968975196,-0.14131006669140883
-0.05243701445469056,-0.15673748633268336,-0.05629394008559107,-0.13559501766212637
-0.04396164940867079,-0.129210338198545,-0.06540719266974716,-0.13843722433233882
-0.030492266464701816,-0.11711143822763978,-0.06904799506715084,-0.135934377206575
-0.04011010214785109,-0.07375293958677265,-0.07379829410469861,-0.1256457247148234
-0.06352445487508687,-0.07762269283268428,-0.053724234347618735,-0.12489006595213231
-0.0430689982252874,-0.07994232374934353,-0.06957090376346374,-0.1270724959829902
-0.05212318694695219,-0.0955994541429873,-0.09779896880930544,-0.13389988230490046
-0.054473264722528746,-0.138571072849941,-0.0661786057168376,-0.12671720071099485
-0.06366426573644172,-0.0545675202641945,-0.06503730600410695,-0.11894685400986352
-0.03247784454113631,-0.04997667815437909,-0.06047711474613353,-0.11495853332090204
-0.02927345895819522,-0.04671780707436015,-0.06259406248640341,-0.11349120490186149
-0.0385707019722706,-0.04021267844071413,-0.052860945511727944,-0.11817583874065714
-0.04109603122117488,-0.052416707305613645,-0.0614526564465458,-0.11877857813665986
-0.02548251068701288,-0.05965774030904331,-0.053125450394531794,-0.12088309138626178
-0.02404152999228578,-0.031856554424448326,-0.05115118093552582,-0.1141143291401511
-0.018368603143029277,-0.04609130280145807,-0.04096173483787505,-0.11559540451787174
-0.0329789224377879,-0.046812055778114106,-0.05239139906291787,-0.10775538263371015
-0.03402579781025977,-0.07728912503810931,-0.08328965877571544,-0.11651569073880322
-0.026277166743001346,-0.047377281606102745,-0.07290797502151082,-0.1189445849502802
-0.030817366060315984,-0.04805090532641183,-0.062126085539068565,-0.12676283358142207
-0.047410937770788315,-0.07128784726533778,-0.062101791720524414,-0.11131493900797594
-0.03309899769692491,-0.04760948393131229,-0.029852527841556165,-0.10666522807620359
-0.019439109115657164,-0.04284655651833282,-0.06576502605814827,-0.12173014326275318
-0.031338569820858274,-0.05806134000849772,-0.08713297339866856,-0.12122735192384841
-0.018186999216149736,-0.05169573216685649,-0.06336158400302108,-0.12307943173471321
-0.03305067212183533,-0.05187599346811245,-0.06910182597636809,-0.11542498837829661
-0.02263721471248176,-0.060488582035289305,-0.08612020916954019,-0.11918755712216011
-0.02271805134808517,-0.05792351084689431,-0.057960632376823085,-0.11552431758380308
-0.033921027350138286,-0.05354807936671332,-0.08043711655547255,-0.11048913152355821
-0.03121966732451194,-0.08868414782142495,-0.06033530845116352,-0.12038121514163969
-0.02572905684223755,-0.0697925476711567,-0.05443991339024601,-0.11778379089879831
-0.02770690025300868,-0.05986338265794645,-0.08512976877851142,-0.11209280250423445
-0.04148313118506413,-0.07674229703856693,-0.05624756116319379,-0.11285787745860727
-0.029905359930604898,-0.03474589836744147,-0.031218539611410995,-0.09921712216945465
-0.019249878263981675,-0.03578239030620677,-0.028056650889692995,-0.09729202758478357
-0.01589212862285379,-0.037234071285678516,-0.04098512392844753,-0.10393326596721301
-0.01554465316207664,-0.03544550069748528,-0.05045601387180927,-0.10704901246775421
-0.015269453736400162,-0.03520309754593103,-0.07114728065481998,-0.10779216367627803
-0.019313319702819052,-0.013658427033463406,-0.06046014038661491,-0.09815289540506468
-0.030685544012303778,-0.02105815523116903,-0.057339613784413275,-0.09355529431884509
-0.029889046198664452,-0.04105067509107619,-0.06356039088283146,-0.09649821692366659
-0.012188085632543652,-0.02720463635696276,-0.038609048060021085,-0.10643281994495615
-0.01169174970632368,-0.04644537553072341,-0.03889611175623217,-0.10286800714413996
-0.014197296034737194,-0.044429469348375404,-0.050492932603977046,-0.102686686531117
-0.01600306472405201,-0.027742501433297286,-0.0279539766446088,-0.10324843158765919
-0.012832083099106335,-0.03234368892551003,-0.024785207147955932,-0.09821301142591517
-0.0173682099552902,-0.06089279666851157,-0.021955610892622587,-0.0977740970680868
-0.02283511906964399,-0.042456564800728,-0.05499540583385198,-0.1016654513933947
