server,bus1,bus2,cloud
553,285,248,1414
615,308,215,1362
612,314,268,1306
604,314,291,1291
604,311,288,1297
603,317,290,1290
597,319,289,1295
600,320,289,1291
600,320,300,1280
601,319,294,1286
598,320,292,1290
592,318,296,1294
602,320,292,1286
601,317,295,1287
587,321,280,1312
600,313,278,1309
590,320,289,1301
597,314,278,1311
600,314,282,1304
595,315,279,1311
597,314,281,1308
603,315,294,1288
593,316,281,1310
597,315,284,1304
594,317,284,1305
601,318,271,1310
594,319,276,1311
597,314,303,1286
590,310,302,1298
591,305,304,1300
602,315,285,1298
596,293,305,1306
592,305,299,1304
598,318,286,1298
592,312,296,1300
598,299,305,1298
590,309,298,1303
590,297,307,1306
596,301,309,1294
587,313,305,1295
587,320,298,1295
588,308,312,1292
597,307,309,1287
602,308,305,1285
590,302,315,1293
602,308,313,1277
590,306,313,1291
596,308,306,1290
588,315,301,1296
593,307,314,1286
586,307,294,1313
596,307,307,1290
585,310,308,1297
584,309,319,1288
583,308,312,1297
587,305,300,1308
588,306,307,1299
590,303,301,1306
586,300,313,1301
598,305,288,1309
587,315,292,1306
589,308,305,1298
597,308,301,1294
600,303,283,1314
596,305,294,1305
588,311,306,1295
588,313,307,1292
594,314,291,1301
584,322,307,1287
578,309,306,1307
590,313,302,1295
594,294,303,1309
590,307,300,1303
577,305,301,1317
595,312,308,1285
591,301,291,1317
591,306,296,1307
592,312,280,1316
557,304,290,1349
600,311,281,1308
607,303,293,1297
595,293,299,1313
592,310,309,1289
593,312,299,1296
600,311,305,1284
569,305,299,1327
591,321,297,1291
593,301,310,1296
595,304,313,1288
591,309,301,1299
601,300,301,1298
604,298,314,1284
586,298,307,1309
597,304,299,1300
587,309,301,1303
593,309,294,1304
570,314,271,1345
594,320,281,1305
595,311,288,1306
604,311,286,1299
597,306,284,1313
588,313,310,1289
593,310,301,1296
595,311,308,1286
583,310,298,1309
597,313,304,1286
588,307,305,1300
586,308,311,1295
594,309,313,1284
583,312,305,1300
588,314,297,1301
604,313,307,1276
593,312,306,1289
593,314,297,1296
599,307,289,1305
601,305,283,1311
606,303,271,1320
599,310,286,1305
591,309,284,1316
600,309,310,1281
599,324,305,1272
593,314,302,1291
601,319,289,1291
595,316,295,1294
594,320,303,1283
596,318,297,1289
597,316,303,1284
601,303,283,1313
589,313,296,1302
602,313,291,1294
600,317,295,1288
593,318,294,1295
587,311,304,1298
587,313,301,1299
590,300,299,1311
596,308,307,1289
604,310,299,1287
