server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,cloud
-1.4917041254491776,-0.3978877245610635,-0.21128251761590916,-0.8043823328396427,-1.856911251256992,-0.977419117856796,-1.5698551332212098,-2.857559834940181,-1.5764524778335172,-0.16876478243461507
-0.02644058616527939,-0.18988408787281344,-0.1921884735702539,-0.0035315681355543548,-0.0008256332708918678,-0.001946791631065824,-0.047501323246365676,-0.006035355744822357,-0.08224476853888132,-0.10733489953595227
0.0,-0.10601281573871287,-0.004997432817607952,-0.0033263634354095493,-0.003786804249952788,0.0,-0.01097319654325131,-0.009440724919164346,-0.08781167202729916,-0.12217259004252502
-0.0011761017042050297,-0.015332893634762899,-0.0006118357184020729,-0.0005500258171564929,-0.013954088881718353,-0.0008354740877768747,-0.05295321624853734,-0.007245390938309049,-0.016983435524933258,-0.13968012364875065
-0.012832052578007661,-0.001715353057512694,-0.0021263028072041933,-0.005603416784597148,-0.0372124764955483,-2.6908676911442664e-05,-0.006175905442914917,-0.023344895778923982,-0.03175154299026431,-0.11525965091709983
-0.009426631895983494,-0.0006382840858115972,-0.001171886943809696,-0.02831633209466908,-0.006818481868019175,-0.008808953875627874,0.0,-0.05937262521493558,-0.012665840569344718,-0.13442854422516795
-0.019898819641532006,-0.0010564339743948628,-0.00612976502167195,-0.005248287658726332,-0.01725003071561457,-0.0014707884317453701,0.0,-0.011667501791792751,-0.0031744945514221436,-0.16921831203727328
-0.029941369490936606,-0.0016200583137368995,-0.012769636988799364,-0.004193888889149038,-0.05222416606185605,-0.0010903140425091217,0.0,-0.007267441999888486,-0.005677627047976973,-0.14517700859631372
-0.008460622987103254,-0.0012167658945804074,-0.060402186621933036,-0.009197868735574863,-0.08895916876517646,-0.03792617522494445,-0.03855424196343842,-0.024799704253019188,-0.1171978138777883,-0.17558570882931707
-0.03976012436847208,-0.03189368890708932,-0.021113645217653344,-0.016592534502845074,-0.032530900458564625,-0.03513606360963454,-0.004366081870414394,-0.05178577574895689,-0.0037109007587084195,-0.17832325997935863
-0.02442941983202241,-0.0007652289355355245,-0.005083496470114554,-0.006673468141462317,-0.04876301583857708,-0.006806376646118959,-0.0018801600076608553,-0.008375457355984106,-0.0024318900347266616,-0.1859694919071416
-0.035840063590515565,-0.002117142622868265,-0.005250888627524227,-0.008066890990364606,-0.03791251532623534,-0.008039081538323792,-0.016005204122246586,-0.003994875915326121,-0.010349754657951096,-0.16271714842923102
-0.04379192413904605,-0.03089193522054792,-0.0015775290609338893,-0.003773895669100132,-0.028419735719546903,-0.022352617718027015,-0.004678625707637175,-0.009072355106037096,-0.01202588977824092,-0.1940557350467929
-0.008233040214588159,-0.0011065981271112287,-0.007774264747749386,-0.0013105939507304387,-0.029992279385839274,-0.017805601292973667,-0.00010514845353293829,-0.02500469747490811,-0.0010701039252190275,-0.20356375234636265
-0.00873385278508107,0.0,-0.015144975593142422,-0.004698556640961355,-0.0249838391331678,-0.003641032653164872,-0.008001571090829449,-0.010908088416419028,-0.007801866277995236,-0.21049200682957725
-0.006726021383610583,-0.0025540784912158206,-0.006752386439121228,-0.006116118159295107,-0.017734903805868944,-0.002737074687348026,-0.0025887400390519665,-0.0004782096488297526,-0.007465638936425773,-0.21174409722443902
-0.0065512608604679935,-0.006608623668947307,-0.0015099922486106596,-0.006469368971491991,-0.033846027309019755,-0.009249420137115811,-0.004320156042995947,-0.013534227199696288,-0.017242144726984522,-0.20279038743112085
-0.0013327700132094056,-0.0008736614393766479,-0.0032711628672154993,-0.00048135623899413227,-0.04044701868835929,-0.01508315255408088,-0.008065226158020855,-0.004484321911551423,-0.026778948805391858,-0.1776385617602037
-0.015285684818980388,-0.0028267537676055525,-0.010430621478825251,-0.0018387904899834291,-0.02826785170520874,-0.014912222682813689,-0.020966879934259046,-0.005566129916302457,-0.024857970558407206,-0.19728079370364712
-0.005093421070697333,-0.032512711270582195,-0.027937944792537386,-0.0203527449546222,-0.027900748715724046,-0.037346982174097876,-0.0005758350860192733,-0.027205939074053363,-0.03121014504313546,-0.19421057509896922
-0.005611478733992969,0.0,-0.007567633291128476,-0.001495882304920407,-0.05239806122946301,-0.007674173005618304,-0.0057496147974315645,-0.006328300736330383,-0.022964680201605178,-0.17496889670380994
-0.013421907556666229,-0.004451838070138642,-0.014053892233941878,-0.05208899859598349,-0.026470276031211496,-0.018125944931445773,-0.010729357750331514,-0.033473489277354405,-0.011584017170052616,-0.1989169090385648
-0.013194513956095305,-0.0024298303877691705,-0.015891975349618868,-0.009188573994602363,-0.020811127802848453,-0.014910441564385056,-0.013819746909468142,-0.02124781235023626,-0.03216533875016286,-0.15919180788458495
-0.00276988558253615,-0.0049803513733365935,-0.007719388304152492,-0.0023007858001641486,-0.02351726449721349,-0.009169497713037053,-0.0021147048782344706,0.0,-0.016049986457793333,-0.199003274261937
-0.002033241682398181,-0.011356389725813746,-0.008468983200535553,-0.0010183258693827902,-0.026481165060565064,-0.013272374694106347,-0.006643194295692155,-0.0015786951783892133,-0.01938605350791634,-0.20217884226726382
-0.006116928344435312,-0.008305684272625928,-0.0019349185896416865,-0.004553689440400722,-0.00459673289544313,-0.004383894437661612,-0.007236264328355491,-0.006045568293880332,-0.008789560388973534,-0.17015390764570035
0.0,-0.00497332018367208,-0.0020400583760065982,-0.0014287345794254528,-0.01643969733394171,-0.01721533151830656,-0.0057975044181758344,-0.01364989407128801,-0.016976845084480163,-0.1860077443606019
-0.0021615327092571884,-0.0009541744227798326,-0.0016116219895830851,-0.009023220132384277,-0.014128865690235807,-0.0026575259467402986,-0.009921331664884538,-0.006065635608969065,-0.01861357545766001,-0.22059815218159462
-0.0016844777605397724,0.0,-0.0016991944410368648,-0.00198538639284894,-0.02135611178212348,-0.0003172050189814568,-0.006318376384976389,-0.0024156678713700883,0.0,-0.2155805937358871
-0.001802256230616626,-0.0002615896447867962,-0.002006294962755072,0.0,-0.03614287396536941,-0.0025426080416032486,-0.006325643671462992,-0.01048156364301539,-0.004253130985432956,-0.20488488623046838
-0.01521639060488052,-0.006692768869968514,-0.0054448164175981105,-0.009214841121452244,-0.014569057770951278,-0.03819900893104247,-0.014022217313871472,-0.024313050350494067,-0.03676298873554301,-0.1495976262013217
-0.0006724760864589873,-0.021487715696026043,-0.01826504242071933,-0.001990332598592948,-0.023419192018605116,-0.0049734849542115555,-0.021879010760275687,-0.010217101248051216,-0.0127816236033056,-0.15222911081560075
-0.0036074057329734126,-0.01609423127979872,-0.019535893477310173,-0.01638644902408704,-0.018034789551507547,-0.0004981166453373558,-0.004459620998266459,-0.0036209184230484148,-0.007627620402040449,-0.19851694995561872
-0.005463408586267422,-0.0032288642952678116,-0.0051847478306618015,-0.004556669442769199,-0.01556994335702672,-0.013756885431887921,-0.007700378290082153,-0.007209318620106793,-0.0062348052522928805,-0.16538292072581273
-0.00484639960584927,-0.0005496624219749428,-0.004267685099836647,-0.0020935479251022724,-0.011558147244343063,-0.005436526245823364,-0.011427675200742622,-0.004263057258246189,-0.009400565496364529,-0.1901956038895718
-0.005646027987046516,-4.41716534099363e-05,-0.0006565497349788743,-0.0001193863449308108,-0.021352092605650668,-0.0013201634103920173,-0.010408380453050304,-0.0027957640594444247,-0.007293365390205248,-0.1786203786468579
-0.004605798725719241,-0.0006514624905390067,-0.0016481408496287042,-0.016442169133052513,-0.019399930123917584,-0.002232181451686925,-0.011089403890342124,-0.0025377898854272805,-0.007872236806321915,-0.20645641583901167
-0.006775511433916409,-0.0129445520449822,-0.0030398964757920297,-0.0006368158900707711,-0.01781864671726057,-0.025464214576681694,-0.004786646038497485,-0.0024199688506087516,-0.016500698572661468,-0.21563656039517423
-0.0023879492618432007,-0.0021249860073010783,-0.008085118805195617,-0.0013768854026408289,-0.010143828525953408,-0.008904877756306422,-0.006459784762680348,-0.0017115518270268057,-0.006967783597906269,-0.20937645061078855
-0.009799744829873122,-0.005957256748884926,-0.004479902245706195,-0.0016990459455733234,-0.009169383940041149,-0.0025419203275347437,-0.007093024819382729,-0.007532146979488455,-0.005687899367016943,-0.19505630175849725
-0.010627087729398941,-0.01469954773108605,-0.012591180743727476,-0.00969507009206903,-0.006883392607386162,-0.01023544625292988,-0.003854624087502938,-0.012677967520949258,-0.004180454277515936,-0.24289299767943898
-0.005231677582689449,-0.0039033873539704427,-0.005977598154843333,-0.04033163258627457,-0.009756788992294908,-0.0027705974612905163,-0.006200900476906838,-0.01790020862374798,-0.02787774571038271,-0.19088581926094444
-0.002636134034017993,-0.001534912917519371,-0.001985534770709486,-0.013613824562832376,-0.010772539979968784,-0.002926748761094788,-0.0010245577788045733,-0.001578709656389691,-0.0011681222214264425,-0.21733472726285313
-0.0028019565376938235,-0.0010125817511643228,-0.005445942544194827,-0.0067349985557525315,-0.0036349785961675755,-0.0047199318799111415,-0.009030848751785711,-0.00902757070834822,-0.006124861947218838,-0.21502676292263706
-0.00038147961460552717,-0.0006581542909833674,-0.003887194665381567,-0.005041176365407459,-0.00578002981606965,-0.0028869645155096975,-0.0019094260400608209,-0.001511565307648949,-0.004538112334628068,-0.2255092262503677
-0.0034531075851682636,-0.008630135666225024,-0.014836215649722102,-0.0033433920607324687,-0.014944753172988661,-0.0041330892372644715,-0.00207892579434322,-0.004544583475259328,-0.0042028779315041506,-0.16481996139325902
-0.005873937060861452,-0.007860088985580745,-0.015309411844533594,-0.007938249995404658,-0.020688747312269804,-0.006311454883702981,-0.02490444134670794,-0.005459823802865695,-0.01385233125772435,-0.2550976272726508
-0.005220374842111023,-0.004178951138011165,-0.011123055776943681,-0.0029279103064452708,-0.00437381163143346,-0.005199943769338459,-0.013997086964430076,-0.009290347823675073,-0.007892895874388451,-0.18547323378509264
-0.006788419485579453,-0.006064068037114685,-0.005802387241795189,-0.007120180928915577,-0.01088859177034444,-0.002288400331033771,-0.0010591933519229343,-0.009365052468542464,-0.004113191958271416,-0.20036270272514956
-0.020104088431964023,-6.997606547822604e-05,-0.010630749451573033,-0.008080190251976219,-0.012401337163735494,-0.007346060417120403,-0.007964873198464692,-0.003478457387851069,-0.02815498485085108,-0.12834175964566522
-0.0010239786858570316,-0.020692708110600182,-0.02185856165614613,-0.02201246793065417,-0.013022193052457052,-0.01943166156431102,-0.009623432768535736,-0.017908105316597575,-0.011467704625622636,0.0
-0.006572260108612041,-0.0002174160717616306,-0.00012905782804056295,-0.00409118390346095,-0.00824580847679813,-0.0046641249273836095,-0.001733575211150629,-0.01209864884573357,-0.0024330536559218213,-0.06577622471864036
-0.005197786779350013,-0.0006025635720969767,-0.0017627894351022017,-7.228235630750352e-05,-0.010284763438820527,-0.00122667050547931,-0.0008296768702745448,-0.002513621944654191,-0.006077362727078992,-0.05444981926663217
-0.00359249864526159,-0.0004612133957526402,-0.005978880973232663,-0.005146791003307716,-0.004707064462562728,-0.005811877532569366,-0.0029180455715707514,-0.003092499404555899,-0.01286768476239767,-0.0008818717358656247
-0.003091743884788338,0.0,-0.005281032366816279,-0.017838612934198476,-0.006378860478276542,-0.011930320188550378,-0.00743656776042997,-0.00972737775619317,-0.013831238719081254,-0.06029086658952357
-0.0038618718978275838,-0.0005650871438576489,-0.0028706248450698925,-0.009259942688332613,-0.013734791337998526,-0.00275727870795181,-0.00589742258326437,-0.004515887255534678,-0.0020818246782155123,-0.09854596687779482
-0.004003725465078465,-0.0029758894401212413,-0.007131086709378275,-0.0032255898058192044,-0.009982588627901948,-0.004717215996675823,-0.006643484926375879,-0.0008820902745185738,-0.007662199351540631,-0.038730542392931944
-0.009401971587866424,0.0,-0.0018038410213920917,-0.007897251494105098,-0.003822813517512529,-0.004198923472948012,-0.00641111932251589,-0.004980830378482186,-0.004895043077685594,-0.18361329456269818
-0.003028206782278206,-0.004918397071773539,-0.02004586806538617,-0.0029975287473780073,-0.012285400626818625,-0.0062378852353620175,-0.0034292581939572805,-0.006735078254276074,-0.017226520057693033,0
-0.011660339749326433,-0.013170033431582089,-0.006961717891507646,-0.00848638483482088,-0.012114678398021349,-0.01625678063097601,-0.016748349112095818,-0.016509483087688955,-0.024482599228383157,0
-0.009269049801961493,-0.0035152015896941485,-0.020244707910888605,-0.004374025232818548,-0.030318909853968158,-0.002940147280933592,-0.00828191344811899,-0.020624125081373495,-0.006056313330492169,0
-0.019406696634743134,-0.006544828493393809,-0.006039534256007097,-0.0077220107684203895,-0.002437815376956482,-0.004056749453877797,-0.007055526061801839,-0.030866043115182956,-0.012041551083095266,0
-0.0025648734260855072,-0.00021665279417752305,-0.005944821172653748,-0.008896427992862556,-0.00255365071596871,-0.0005839427886884501,-0.0036953323880320912,-0.004577551616913973,-0.007537714840550845,0
-0.0050289613388826825,-0.0007532605322656683,-0.004718502479585628,-0.0027422769532995895,-0.007735816851723375,-8.52851244362395e-05,-0.0068874966311362655,-0.004330333577610753,-0.017656203698587485,0
-0.008981001764851384,-0.000158760061857968,-0.009024465031548506,-0.0033835000274343675,-0.01071638878336259,-0.0037830567113134156,-0.006201218961893869,-0.002846022276639183,-0.008521322611838371,0
-0.007599451326936121,-0.004508178840717494,-0.006178118155172423,-0.00881427467999511,-0.005486311013058845,-0.004116105601827699,-0.0022521038205079854,-0.008290630090809352,-0.009579409301990745,0
-0.014316278622908477,-0.008075395020494003,-0.0013892518842373994,-0.0006161898337738729,-0.006630084027206852,-0.00763095350882929,-0.005619938106101674,-0.0011924064973183651,-0.009121128316887932,0
-0.007862092192094723,-0.0030500011324232227,-0.015631302347246058,-0.002113256979494303,-0.005084562377820536,-0.0020484762168494256,-0.004964559537346034,-0.015852790139755976,-0.007203778897545433,0
