server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,cloud
388,162,168,137,162,254,179,113,151,786
535,256,291,151,144,305,249,113,282,174
465,158,290,214,244,309,249,120,279,172
426,81,282,302,293,296,236,228,264,92
464,126,304,297,281,306,246,169,249,58
481,195,308,305,269,292,251,104,224,71
409,133,309,302,278,316,281,178,248,46
449,190,307,300,282,314,259,100,242,57
487,109,305,300,294,314,245,165,230,51
417,177,305,306,275,306,260,141,238,75
387,213,311,306,284,311,248,128,262,50
528,238,305,304,282,255,214,128,193,53
450,196,301,315,255,297,236,185,210,55
508,144,305,308,278,303,243,165,196,50
453,202,301,310,276,313,216,150,235,44
495,197,300,306,285,315,205,126,202,69
490,197,302,303,272,308,207,117,244,60
439,238,302,299,237,312,262,125,234,52
429,224,297,296,245,304,268,128,216,93
529,228,309,251,248,299,243,122,156,115
460,167,306,308,281,294,274,162,171,77
430,221,304,292,264,278,251,205,193,62
465,225,307,285,250,260,216,199,242,51
519,167,307,278,264,273,257,139,252,44
521,132,305,273,244,292,221,243,209,60
488,168,303,278,241,269,234,271,209,39
467,150,301,309,213,298,260,256,219,27
516,132,299,289,229,251,264,251,246,23
512,46,300,288,291,303,225,254,256,25
513,156,305,278,268,240,260,224,231,25
415,216,296,302,264,267,241,247,231,21
488,183,280,286,245,278,238,242,225,35
477,177,291,262,275,271,244,253,210,40
452,267,299,272,259,256,261,242,161,31
515,230,306,259,260,187,270,230,218,25
500,218,297,283,266,238,246,202,235,15
510,182,298,278,245,269,262,231,203,22
545,183,295,280,230,283,240,224,196,24
519,249,299,268,215,260,244,195,230,21
486,215,282,284,230,270,242,208,252,31
486,249,263,272,258,288,238,158,262,26
499,216,272,267,238,265,268,190,255,30
414,216,273,276,274,286,265,228,247,21
462,258,268,265,247,254,245,245,229,27
502,204,258,249,283,271,252,235,217,29
501,222,273,224,260,243,245,227,277,28
553,258,280,260,212,242,186,236,251,22
515,223,279,250,258,271,214,228,241,21
554,259,244,256,243,240,224,213,253,14
547,232,279,255,221,259,216,198,260,33
585,261,277,202,262,260,188,210,251,4
578,240,237,209,284,293,155,223,276,5
594,257,238,174,278,241,217,219,282,0
514,284,269,254,270,185,173,262,289,0
564,290,286,298,144,244,195,257,221,1
545,290,226,284,206,251,231,205,262,0
530,271,262,276,168,205,229,258,301,0
558,241,279,258,240,225,176,236,287,0
528,280,264,292,212,281,190,183,269,1
553,269,260,275,200,238,193,235,267,10
474,275,241,282,231,259,203,270,256,9
556,226,280,264,215,248,211,238,255,7
584,262,282,282,190,239,200,211,250,0
493,242,250,289,226,249,272,248,231,0
464,235,277,289,202,245,231,270,286,1
503,203,242,285,253,264,263,238,249,0
558,246,210,294,291,223,241,175,262,0
591,267,190,287,254,223,222,247,219,0
551,272,175,285,281,178,226,278,254,0
516,249,171,253,287,219,258,278,266,3
455,271,183,279,263,233,272,272,266,6
581,240,208,256,226,248,251,239,251,0
595,270,222,269,190,213,237,265,239,0
595,244,234,238,261,184,238,258,248,0
548,207,239,266,262,244,214,269,245,6
579,249,186,285,295,152,218,275,243,18
557,279,170,279,294,108,234,307,268,4
593,287,157,279,312,115,183,301,271,2
566,260,225,291,301,130,141,306,280,0
604,228,221,235,239,204,217,286,266,0
596,248,208,244,193,217,246,270,274,4
