server,cloud
595,1905
572,1928
564,1936
550,1950
588,1912
588,1912
603,1897
605,1895
603,1897
610,1890
611,1889
611,1889
611,1889
609,1891
607,1893
611,1889
614,1886
602,1898
617,1883
610,1890
617,1883
611,1889
611,1889
611,1889
617,1883
613,1887
619,1881
613,1887
615,1885
614,1886
615,1885
617,1883
612,1888
616,1884
614,1886
615,1885
609,1891
612,1888
611,1889
607,1893
609,1891
618,1882
621,1879
616,1884
614,1886
628,1872
625,1875
623,1877
612,1888
617,1883
619,1881
626,1874
621,1879
627,1873
622,1878
626,1874
625,1875
627,1873
623,1877
621,1879
626,1874
627,1873
640,1860
630,1870
634,1866
633,1867
631,1869
626,1874
635,1865
628,1872
635,1865
633,1867
631,1869
626,1874
642,1858
628,1872
634,1866
632,1868
623,1877
633,1867
632,1868
636,1864
631,1869
627,1873
630,1870
628,1872
639,1861
638,1862
629,1871
627,1873
631,1869
631,1869
627,1873
631,1869
625,1875
631,1869
625,1875
625,1875
625,1875
629,1871
635,1865
629,1871
634,1866
635,1865
623,1877
640,1860
633,1867
633,1867
630,1870
635,1865
635,1865
639,1861
632,1868
637,1863
630,1870
636,1864
637,1863
630,1870
635,1865
635,1865
637,1863
625,1875
633,1867
632,1868
634,1866
630,1870
630,1870
627,1873
626,1874
629,1871
639,1861
640,1860
636,1864
637,1863
636,1864
632,1868
632,1868
631,1869
631,1869
639,1861
642,1858
640,1860
637,1863
638,1862
641,1859
632,1868
636,1864
636,1864
641,1859
634,1866
640,1860
625,1875
626,1874
630,1870
631,1869
642,1858
636,1864
627,1873
637,1863
630,1870
636,1864
641,1859
