server,bus1,bus2,bus3,bus4,bus5,cloud
428,289,294,301,270,247,671
587,309,300,301,295,298,410
585,297,300,299,308,293,418
587,306,300,305,301,302,399
587,302,305,302,300,302,402
588,303,309,298,295,307,400
584,301,313,296,296,304,406
583,302,314,283,298,300,420
586,296,309,291,303,305,410
578,301,309,268,304,307,433
587,305,310,280,301,306,411
586,299,308,296,301,303,407
585,295,306,294,309,309,402
580,296,311,302,302,306,403
577,301,301,274,300,308,439
579,301,307,267,302,311,433
591,297,304,298,296,296,418
579,298,308,303,294,308,410
582,302,310,295,288,298,425
580,301,308,255,273,302,481
584,301,313,289,295,311,407
584,298,310,304,290,302,412
580,291,313,296,272,298,450
585,300,310,302,271,300,432
582,307,309,286,270,307,439
579,301,308,304,282,303,423
585,299,310,287,281,303,435
598,295,306,284,278,300,439
589,287,306,310,280,300,428
585,300,301,302,268,301,443
580,302,297,296,282,307,436
577,306,300,288,269,303,457
586,307,297,294,258,301,457
590,299,300,304,267,309,431
581,304,304,310,274,306,421
576,298,306,301,254,306,459
582,302,302,298,246,304,466
590,295,302,309,269,304,431
591,295,305,306,305,294,404
586,307,307,300,278,300,422
586,299,305,298,285,291,436
585,297,301,299,282,286,450
584,303,306,289,276,297,445
582,296,304,299,291,255,473
587,287,299,273,253,278,523
589,288,302,295,294,276,456
597,273,299,287,289,275,480
594,275,306,288,291,294,452
585,279,288,281,295,270,502
583,304,306,275,292,279,461
582,300,303,286,286,270,473
590,306,306,284,283,248,483
592,298,283,300,285,257,485
601,297,237,304,277,225,559
592,301,266,308,282,198,553
583,305,294,320,288,244,466
599,297,292,311,295,257,449
593,303,283,313,297,248,463
586,301,285,310,299,264,455
586,296,269,310,295,268,476
588,299,257,310,298,279,469
574,305,229,306,304,263,519
577,306,256,297,295,260,509
581,312,267,312,294,281,453
576,315,276,311,278,268,476
576,303,243,311,269,287,511
577,304,254,303,285,291,486
582,301,271,312,290,302,442
582,302,263,311,283,283,476
581,303,261,310,264,281,500
581,294,252,315,259,298,501
579,310,257,312,259,303,480
571,306,300,312,272,296,443
575,304,276,319,202,270,554
579,302,284,306,213,293,523
573,306,288,307,241,295,490
578,307,298,289,244,262,522
580,298,306,263,269,261,523
583,307,299,289,278,294,450
577,302,305,306,292,297,421
578,312,304,297,283,288,438
