server,bus1,bus2,bus3,bus4,bus5,cloud
409,364,376,331,341,329,350
449,331,346,383,340,331,320
455,327,366,330,298,321,403
490,328,317,340,327,313,385
490,304,311,325,332,314,424
513,305,314,320,332,280,436
573,324,312,277,267,306,441
503,319,290,289,276,299,524
551,290,288,263,290,288,530
561,275,282,258,283,278,563
612,238,271,282,241,277,579
578,245,256,269,274,275,603
611,251,246,262,297,288,545
512,285,218,281,298,302,604
598,297,272,295,287,290,461
610,294,295,292,298,306,405
603,301,293,305,300,300,398
596,299,301,297,300,300,407
593,298,295,295,300,300,419
605,291,297,294,296,296,421
609,294,298,302,301,305,391
606,298,303,306,297,311,379
588,295,291,300,299,306,421
593,293,298,305,300,305,406
598,293,294,308,301,305,401
595,292,295,301,305,302,410
600,295,305,304,299,304,393
600,293,305,305,305,306,386
593,290,298,306,302,297,414
588,298,299,299,302,288,426
590,282,300,307,296,299,426
589,295,297,308,298,284,429
602,294,301,300,300,296,407
606,287,299,307,296,299,406
605,282,298,303,297,287,428
612,283,294,300,296,303,412
590,250,302,307,295,304,452
598,254,293,307,295,292,461
602,169,294,303,285,279,568
600,237,291,304,304,306,458
606,243,299,304,292,290,466
601,247,292,306,297,270,487
607,272,289,305,304,301,422
609,233,289,305,295,299,470
605,278,287,304,290,307,429
613,278,291,309,272,280,457
610,260,286,309,231,312,492
610,276,292,313,299,288,422
596,268,284,315,287,302,448
607,261,285,310,298,302,437
600,232,287,311,289,312,469
613,226,291,315,292,308,455
615,248,293,311,287,303,443
617,270,290,309,274,300,440
