server,bus1,bus2,bus3,bus4,bus5,cloud
594,280,96,222,303,141,864
576,304,33,282,307,295,703
592,245,44,301,301,317,700
607,178,60,288,303,294,770
606,48,64,297,303,308,874
606,38,39,295,311,305,906
605,113,38,292,303,298,851
608,275,41,286,295,294,701
610,316,37,287,293,300,657
611,304,34,277,295,299,680
621,306,29,287,289,290,678
609,317,38,287,294,295,660
631,173,100,289,236,294,777
624,44,130,296,235,295,876
610,124,152,295,247,302,770
625,29,193,293,259,299,802
619,30,102,302,273,292,882
615,35,244,296,270,296,744
612,38,274,306,265,303,702
604,31,282,279,276,307,721
611,203,291,283,289,313,510
604,189,294,271,294,302,546
613,299,285,255,277,306,465
625,280,289,248,287,307,464
638,290,283,282,286,307,414
625,287,286,293,287,310,412
619,295,285,298,297,311,395
630,295,290,300,294,312,379
610,280,286,292,298,316,418
610,293,281,299,289,307,421
617,291,280,316,291,296,409
611,292,282,306,289,304,416
611,292,287,288,291,307,424
610,290,298,276,286,306,434
611,296,289,275,292,308,429
607,292,286,56,230,299,730
610,304,282,32,183,268,821
604,314,277,25,56,190,1034
612,302,270,18,18,34,1246
621,305,268,12,21,32,1241
623,307,270,10,21,71,1198
617,304,273,46,65,202,993
615,311,278,266,282,309,439
615,306,294,306,286,304,389
610,305,287,306,281,305,406
611,305,284,306,288,311,395
601,156,276,298,271,303,595
615,69,291,308,292,305,620
613,169,289,304,292,308,525
606,18,289,310,297,311,669
602,25,292,26,31,46,1478
606,198,285,138,182,123,968
605,252,283,14,18,17,1311
613,301,293,13,17,19,1244
612,300,296,17,15,10,1250
609,300,286,22,17,20,1246
591,309,283,149,18,210,940
603,303,286,97,19,127,1065
591,295,293,317,77,298,629
599,277,282,318,263,292,469
601,284,275,315,284,304,437
605,250,250,310,286,307,492
600,273,256,314,289,309,459
615,290,289,306,288,312,400
606,308,289,290,272,303,432
607,306,267,267,273,307,473
600,281,12,227,265,312,803
606,295,0,302,283,315,699
614,298,0,299,279,315,695
589,293,0,258,247,324,789
607,311,0,299,296,313,674
613,308,0,195,210,314,860
605,304,0,240,163,317,871
608,302,3,230,227,307,823
611,295,22,163,245,312,852
606,289,2,273,274,300,756
607,273,66,285,272,300,697
566,220,274,304,280,310,546
541,285,252,314,276,312,520
532,300,288,312,286,312,470
578,294,85,313,284,305,641
