server,bus1,bus2,bus3,bus4,bus5,cloud
-1.0673023660749428,-1.1550961155402075,-2.9706310154536784,-1.4544714363254954,-1.3811518980718667,-1.021954696278685,-0.15781078579700739
-0.15841130746726825,-0.11925375438433128,-0.9958133799900608,-0.1573526980357474,-0.24258148973636193,-0.11317191740782356,-0.1422615111082842
-0.10289540082156962,-0.17679844238163694,-1.2555501703991447,-0.16327932964236208,-0.2437422254302182,-0.16930568012773847,-0.1602792434818667
-0.0529028178875436,-0.17736941557472719,-0.19957524801965573,-0.08115936674698561,-0.12533457051904584,-0.1514018512912024,-0.18570880898541242
-0.14326860847884987,-0.23203072170189296,-0.29875917865747453,-0.16975879438607253,-0.16989689695959975,-0.18960828373622862,-0.20688821218899955
-0.1549450003868493,-0.19650325181298842,-0.441287014720601,-0.1552474891674873,-0.15350762050753408,-0.21626637318602054,-0.21518388247365447
-0.11946082822692805,-0.17051091101032723,-0.49535117623766134,-0.11490257099231432,-0.12577628110660843,-0.1782727236134422,-0.2118655355321579
-0.14025299398316637,-0.14033491852388094,-0.7448263296230428,-0.10605896585201638,-0.13686265359664754,-0.19832279635345726,-0.2069459902310466
-0.11739146655022749,-0.13414360707443243,-0.8524968408251027,-0.1066498025399707,-0.12917292472703926,-0.18085294811782693,-0.20009085651542524
-0.09153579636010113,-0.11102024156580118,-1.0907372406885074,-0.07535231458200191,-0.06649844306900066,-0.17441705425410872,-0.1789890247950631
-0.08311350913101329,-0.11340938456552152,-1.3188272290355716,-0.05741775247354043,-0.06074409543185253,-0.13668843420107243,-0.1745152557125641
-0.09800019616800318,-0.11538167195292656,-0.3642819767201646,-0.12104005112854165,-0.10872918685005944,-0.1830438339816915,-0.2228496470922883
-0.1495355879420379,-0.2402460396197985,-0.31384914102509825,-0.10211133731406856,-0.13277258141462386,-0.19141176361737022,-0.21703539161042917
-0.15302771814887006,-0.3126153387919604,-0.16929224698474485,-0.14145472908445547,-0.14422987584294278,-0.21127354909117094,-0.24141435429882108
-0.13317358887736952,-0.27736994947877025,-0.24879985697479862,-0.10811246728799997,-0.07852784316490465,-0.17880299926659365,-0.21954609861729377
-0.13587943347294984,-0.9435342298345828,-0.18946376744522145,-0.10874374962070377,-0.0814517577745699,-0.1803786716946528,-0.2237259799097655
-0.16879051976862008,-0.9603797801588905,-0.26298986503921146,-0.11571880631482227,-0.06470912956935691,-0.23577886851448854,-0.2046178353534708
-0.1046801637529655,-0.6229005371137037,-0.11791851782188319,-0.0772004115066513,-0.0632630900823398,-0.21325732326583227,-0.20867563917450413
-0.12525779004543125,-0.5271748467146048,-0.12033040262153462,-0.09653864279912305,-0.05105063721000438,-0.15638282768323122,-0.1985626098583553
-0.13392459867718323,-0.22869575838093864,-0.14629369293182562,-0.10068999121111408,-0.07796191140174498,-0.17186373116160092,-0.19783610591548048
-0.09927994149725611,-0.19475412116654037,-0.15397690227194027,-0.09374003154854978,-0.046773585657917255,-0.1724103346742426,-0.17607231294528067
-0.07686379304620711,-0.10487684985245228,-0.045438628638399696,-0.04193232719048812,-0.02287296591677043,-0.09119454331237382,-0.13805878195520305
-0.09327640388169985,-0.06159019135541833,-0.05431835772467837,-0.06745126193085554,-0.06534387312527569,-0.08636578921706681,-0.13272863022682066
-0.048125437288055795,-0.03673000834078732,-0.061049631007275236,-0.036740136453388965,-0.07027601972334167,-0.08436207498364931,-0.11175753963320499
-0.05611899606360161,-0.032392254408106634,-0.02179246779604453,-0.042694435885772805,-0.05274905470290145,-0.04200759677444841,-0.10950706422468616
-0.05991662841325468,-0.06074480338088332,-0.03957312317378496,-0.04849939580855378,-0.07789892391390607,-0.042893083126340624,-0.12252672474097048
-0.05944458580553799,-0.050996978875865545,-0.026148244956114567,-0.03618728603725076,-0.0740975244849997,-0.04674623989488943,-0.11727902778844462
-0.060295617646506594,-0.057377304594916384,-0.0495418437987312,-0.020176595646309695,-0.03998224620829179,-0.06473825134945248,-0.12690577535547398
-0.07077323679850271,-0.055695803809812164,-0.043104775951850326,-0.04348781586316073,-0.07335742419830836,-0.07671684360906822,-0.12102534697447138
-0.062436111364815944,-0.03915914481460786,-0.037769430319822966,-0.04091183671732363,-0.03915589719326011,-0.07799753967829484,-0.12874124733598927
-0.09570436229500162,-0.06668247004136593,-0.057712905695058096,-0.059868242405824286,-0.02188755805951817,-0.12802452055881425,-0.14710967224194987
-0.052892360411039605,-0.030171095774602724,-0.02310405669868133,-0.061805280225442946,-0.020622283850614695,-0.04206473758516726,-0.1243897385212323
-0.06947952005767286,-0.08891664200316161,-0.04693613151205564,-0.048104303690983244,-0.03798435343218712,-0.07235665385080606,-0.12681327765412057
-0.07670954807154215,-0.057637680307310875,-0.034511032199580606,-0.028307980996878375,-0.04155305749312181,-0.08557035163390622,-0.12348023661895888
-0.07036570608762456,-0.03446818720602356,-0.03299234563156735,-0.03687022750774372,-0.027915402987520013,-0.05773516992925589,-0.11975655208928515
-0.11045530089305942,-0.10841420480000831,-0.07238874853811936,-0.17767110128825267,-0.12659568463340362,-0.13430049877615932,-0.15074175658975816
-0.11090649558673576,-0.09277298597762851,-0.09858326625902751,-0.2106244354106468,-0.14514355350089014,-0.13083194117043132,-0.1666231486277912
-0.13776250584056693,-0.10828520694243857,-0.08885874881620767,-0.22257688323016164,-0.14151122863608978,-0.18143230056199103,-0.17204154455865678
-0.12387793361095115,-0.11184500569045254,-0.09111214688926417,-0.37835524320239816,-0.3408854036978211,-0.2383428755134718,-0.15228905702500925
-0.08645958866958302,-0.08607782543213034,-0.07337043990566308,-0.34745210101704793,-0.2779224851930575,-0.28805905784126934,-0.15860690390312196
-0.06336401311723384,-0.06638392727652458,-0.0601960481077827,-0.26806394101379744,-0.2616295246291918,-0.23297574616476455,-0.15284982596960944
-0.10765421160850114,-0.08451924917654059,-0.047442317774365104,-0.19713814470699906,-0.2065738287688895,-0.14199687147076342,-0.18013428342168308
-0.1096185345411138,-0.04530344161751421,-0.04977194810704283,-0.15467075311964307,-0.137436030569397,-0.10748833017645584,-0.1578258393582268
-0.049611093178402045,-0.014817243515560945,-0.020455365575548907,-0.07796858868919788,-0.04985608525025144,-0.09117136897234582,-0.11750731343111048
-0.049433959696094536,-0.014456022103282161,-0.018645477014286656,-0.049753740771681224,-0.052833801230090446,-0.10446271342064506,-0.10358649589632235
-0.060295048152213024,-0.018410148022774776,-0.026070182846086636,-0.0481649182121536,-0.07736475605877396,-0.08296620830880184,-0.11391886439289295
-0.09043858180353134,-0.09225673331802788,-0.042191033567853996,-0.08575783214337986,-0.08727351583853112,-0.10418056105264417,-0.15208317978418845
-0.10773450217808471,-0.14720759047330287,-0.03767754796614165,-0.10198785190335237,-0.10340941679584784,-0.1055277982343417,-0.14810436722926637
-0.08239277214019622,-0.12403614734399113,-0.0333914159267267,-0.09287919077892849,-0.05643348667091032,-0.06551983242221554,-0.12928130905491333
-0.0723862204008611,-0.45950243514606964,-0.03209677997561209,-0.0940272217204694,-0.06888183753396245,-0.069837286096559,-0.13664562265360494
-0.14267827681229367,-0.2719748538684141,-0.08058684484639107,-0.5322690322115544,-0.5216242337131967,-0.5080599485174844,-0.17003860373766694
-0.0981041285347241,-0.13116552351610652,-0.06987074506879207,-0.16898469213181833,-0.10548894829301829,-0.11300455915381147,-0.15831120588478578
-0.10422132080583682,-0.10307336104480129,-0.0865677112161615,-1.1234244151716495,-0.995027767151491,-1.1949480137033965,-0.16958221240350138
-0.11707456782415832,-0.12586506258135952,-0.0868789943476601,-1.310491958399975,-1.2383248562477311,-1.2040179334611638,-0.17009256038166765
-0.11514537687480801,-0.10634479672772805,-0.0665184715681586,-0.9634365797726752,-0.9366244517657502,-0.912775251507417,-0.17387824390540632
-0.13340370912154176,-0.09790310892585762,-0.048678854426138035,-0.6860841988681317,-0.703014692806888,-0.6130513988534225,-0.15849945071470872
-0.1499765054266857,-0.1299084835826472,-0.06029644490144311,-0.1926218927198718,-0.1945475166054866,-0.17541155605689104,-0.19779526825351257
-0.11614812778760972,-0.10569385047035089,-0.08392574092713154,-0.25568031927643914,-0.38237839586479344,-0.3227094741228579,-0.15433784775645432
-0.10104800655657681,-0.09085655065293005,-0.025534455073971823,-0.10296550811034992,-0.17186171290681443,-0.08017757025738538,-0.13002842770909837
-0.09918773608878963,-0.037273997693969864,-0.03223165507665413,-0.0868088902679463,-0.09782990997997117,-0.08876846793133297,-0.12151810806571964
-0.07803550059480525,-0.04804372860782899,-0.017021615308316536,-0.1209293914688959,-0.07184529763410076,-0.07934288246724197,-0.13570911800425378
