server,bus1,bus2,bus3,bus4,bus5,cloud
-0.030023312983266624,-0.05271106330893793,-0.06841809246297662,-0.0706478177934758,-0.08086181176075592,-0.09887380339789505,-0.1845514783616019
-0.020222909036884798,-0.04766034110023368,-0.06597056129989481,-0.07260870341743861,-0.08636911701847043,-0.09437772944974322,-0.19229532885936512
-0.028495196769032706,-0.04205070859831258,-0.05549639431911302,-0.07481368676999509,-0.0784440901729795,-0.08921721518812985,-0.18705676702830779
-0.024763403783984637,-0.048364394536548706,-0.06435477189277504,-0.08255196228462068,-0.08653266898328375,-0.08996411708720138,-0.19365943141342268
-0.02012056703749988,-0.051370806338163516,-0.05817197869072295,-0.07559660862263101,-0.08062381507824104,-0.09853275295691563,-0.19372361593474408
-0.0195694746052905,-0.05280928168994872,-0.06440880151156486,-0.07414976396271093,-0.09353222327928991,-0.09509861090433185,-0.1865914806682018
-0.0168610429904819,-0.04591228691548121,-0.06637080821498159,-0.06390205685554488,-0.0790307047430868,-0.09326205750423862,-0.18411785552326249
-0.01765864814054803,-0.05494997029113985,-0.06941573480995658,-0.08947691767041575,-0.10897430334471192,-0.10175167697593983,-0.17839870413741787
-0.01983791814452836,-0.04339656685011784,-0.0612716330838595,-0.08444288982719499,-0.0838199314077346,-0.0942231582792978,-0.19591908212416323
-0.026331286749545914,-0.047333096101118154,-0.060576468747208005,-0.06867087822545893,-0.09362997236492296,-0.09504565049081064,-0.19841227482286844
-0.018599487099164064,-0.056418681586178146,-0.06080437637711861,-0.0789406890698752,-0.08917084257399858,-0.10518743452109335,-0.1897869527548369
-0.023957841742369874,-0.04970042847204444,-0.0623649844365909,-0.08762649843454749,-0.08460037259929674,-0.10591756717092068,-0.19211616303182547
-0.02433273347893726,-0.05613693980442581,-0.07287382619474163,-0.08798948397576184,-0.0884177477457153,-0.10481503882255146,-0.1785236081289167
-0.02175223668242795,-0.05107627757190538,-0.07976586798657459,-0.0804438210240839,-0.0949552352538267,-0.1083989699085751,-0.19276394644485856
-0.02510968225719217,-0.05365572100191556,-0.06767313355616844,-0.07829233962823702,-0.08601264848187483,-0.09588764018222536,-0.18870762294136634
-0.02620978522657149,-0.04870636737803602,-0.06924797039655743,-0.07909181926615089,-0.0912665512384682,-0.0944701474722438,-0.19267857403143002
-0.025860564908509295,-0.058998757461534115,-0.0642213245385025,-0.088179945901619,-0.09185669467835773,-0.08911793647794733,-0.18041269903748475
-0.024388687786583926,-0.06383475922220953,-0.062370391738557615,-0.08378273347854683,-0.09075618494987704,-0.10410919344603976,-0.18157039980841005
-0.019229410483097346,-0.041137470453882184,-0.06404854973478641,-0.0785829262358883,-0.09100796945669025,-0.09424832397495467,-0.19386542524273145
-0.019490709367816716,-0.05724392524808595,-0.07323839558198031,-0.07647241035320947,-0.0989532495846347,-0.09923001528549708,-0.1947531605191797
-0.020819895240540807,-0.05147296292536394,-0.062498952548702635,-0.07226701536139897,-0.09130341432182286,-0.09520817096722531,-0.19382613892468373
-0.024880298562332363,-0.05883937917949817,-0.06503813221923273,-0.07205537311930378,-0.09179397556182944,-0.1076237498439336,-0.1868906820590773
-0.02101671085212167,-0.04737080328565714,-0.055931900021631065,-0.07868683042186458,-0.07544411372259602,-0.09130426152280809,-0.17923497094480756
-0.026713059434824642,-0.04706330971074883,-0.06372590827330131,-0.0763486321216366,-0.0986976031671385,-0.09886319391250437,-0.18676028446104562
-0.013937077301139899,-0.04240937541403265,-0.06666526297736174,-0.07402492244937807,-0.08453175308225014,-0.10313064895463915,-0.1833753073839584
-0.021507604729038482,-0.054535071259218686,-0.06954756611409868,-0.08413373347933042,-0.09009861580450577,-0.0988563652659608,-0.19011110821328167
-0.020293837745628113,-0.05609429694345351,-0.07215963683539048,-0.0832718779022216,-0.09014170074176776,-0.0944841379233163,-0.18720215958690062
-0.016564076876274758,-0.04629467211330686,-0.058565083570888396,-0.07919021491547182,-0.08315275913357247,-0.09627411344525741,-0.18659873314418335
-0.022380078289462178,-0.04460297274662426,-0.06232374289274684,-0.07219616515544637,-0.09713207898972118,-0.09491428187480871,-0.1865106050559281
-0.022130988369304844,-0.04548555122251777,-0.06674266364951191,-0.08662622134456366,-0.09404882932176925,-0.10026347479367224,-0.20015121254938248
-0.02577527597229727,-0.05060224809508229,-0.07447335669289386,-0.07942191874335225,-0.10329387661317221,-0.09888389664524043,-0.1921859140453411
-0.015814440691798597,-0.04865574528989179,-0.056660297417468225,-0.07576851989915666,-0.09194675183789819,-0.09934012974376663,-0.18751346011011438
-0.02283168939700613,-0.047600936941801314,-0.07842089135272397,-0.0779560169609471,-0.08120599253800476,-0.09201665933627845,-0.18997359717762333
-0.021335837269122145,-0.047073943675720396,-0.056988019441042585,-0.07882513528343003,-0.09258895978137678,-0.09069795077642244,-0.18653931064541973
-0.03001292095938085,-0.054057648639483584,-0.06606949973080065,-0.09208595176041835,-0.08512951514949606,-0.1050465352980228,-0.18184374302422857
-0.02498873768228243,-0.04871985728899605,-0.07324128366296791,-0.0887430044911927,-0.09054496328182451,-0.09448817628689377,-0.18697448776596265
-0.025064259133452556,-0.054187005263889525,-0.07310828859393811,-0.08520069011775708,-0.10079322961291638,-0.10290575588824215,-0.2025763041331801
-0.02596166810333487,-0.05082768018535803,-0.07283594080218647,-0.08085580996639039,-0.09017927025941862,-0.1048183586733018,-0.2011333493429304
-0.02361936351340488,-0.04681418076091672,-0.06454004271155803,-0.08216569469497008,-0.08956747436504675,-0.10267408092816853,-0.181237225929803
-0.019716113505969298,-0.051530104464931906,-0.06482825047661477,-0.08169622538464326,-0.0864006154030937,-0.09764481663159762,-0.1784978887822385
-0.032771611325554936,-0.0572038004220023,-0.07867773977128027,-0.08505137130514713,-0.08806054030006322,-0.10079249421326106,-0.1907241805745366
-0.024495896644596987,-0.054266327429756324,-0.05838187758419133,-0.0675323260405786,-0.08403003710029137,-0.09343622431301872,-0.19819467402605298
-0.01804102589478348,-0.05835527618683569,-0.058856270687079056,-0.07544688800723802,-0.08228896751917998,-0.08355091493719458,-0.19644251758267872
-0.01907863299154641,-0.049457218373324126,-0.06885952642973286,-0.07919440502080506,-0.09529235676298767,-0.09314504070519411,-0.1911665637859849
-0.027392979161956012,-0.051306878804350885,-0.07506858436634384,-0.07048520992611065,-0.0845347093390205,-0.09770042727673202,-0.17934980451208035
-0.017111123631928998,-0.041446687752211976,-0.05865238986128001,-0.0745596496837093,-0.09399831555371345,-0.09205399062096607,-0.1860268993259843
-0.01674345545238744,-0.047366431763955316,-0.06516907193412057,-0.08397388804323294,-0.08734211981469864,-0.09546321866168048,-0.19746544731028706
-0.023108255170223167,-0.0511791835222666,-0.0682117033040178,-0.0767386489940553,-0.0941338056509803,-0.09886402622513696,-0.1894410940055735
-0.01812725437095417,-0.04900615999479977,-0.06396891022776141,-0.07922010288772223,-0.08823782177351748,-0.10003285366715285,-0.18484073619568123
-0.023884916798830987,-0.04542782603798072,-0.06825809868944507,-0.08957460640875166,-0.09983237205331362,-0.10315892412288663,-0.19750582580699957
-0.023370860462575953,-0.05036883943675462,-0.06419739212588538,-0.0812047553464796,-0.09332714929519408,-0.11513533208914759,-0.1870500581187273
-0.021124979312285963,-0.05605365333278202,-0.06855668607250773,-0.08615769850979406,-0.09010369389605016,-0.09820731915590389,-0.18056868054514513
-0.028352442808002525,-0.05336836360169835,-0.053235499842506875,-0.07939944060736481,-0.09528541582382011,-0.10056011039898738,-0.1881594705913527
-0.021878839748225267,-0.055655579960252125,-0.06794646946158599,-0.07153931075758213,-0.10035543334974724,-0.10240560039448209,-0.18300760170191416
-0.017861477727020767,-0.053324105906993866,-0.05996700844537957,-0.07881097830334968,-0.08987997397264515,-0.09715447154399258,-0.19316721720905153
-0.02352044220416662,-0.061996050242810435,-0.06576913686145211,-0.078447196679614,-0.09362603451577979,-0.10210196841355007,-0.18371524862080335
-0.02464185589298411,-0.05493026164384773,-0.06699559244181341,-0.08622737307858463,-0.09596622442406855,-0.10031739860358546,-0.18431817911453213
-0.021983113280375957,-0.04907171036941401,-0.07373798063449154,-0.08291910595817871,-0.09933570118081687,-0.10168484656517167,-0.18759644387633015
-0.022767013153432634,-0.050728998229611355,-0.05515448390526059,-0.08112666133002691,-0.0919686960980386,-0.09033541773453006,-0.191609186700653
-0.022978705367890498,-0.05612392047468357,-0.056240390141649554,-0.07597419099595505,-0.09546798549034347,-0.1001313440787601,-0.19045647070424965
-0.01661862904763989,-0.05062487319762929,-0.07803836490149788,-0.07388252276926827,-0.08094069513286882,-0.09736035664983982,-0.1951092900202058
