server,bus1,bus2,bus3,bus4,bus5,cloud
618,312,306,300,299,296,369
606,310,303,299,294,289,399
608,309,306,302,299,293,383
606,306,303,298,297,301,389
610,306,300,307,299,292,386
606,308,305,307,305,301,368
609,306,304,302,299,300,380
608,310,305,299,299,299,380
616,305,301,299,297,294,388
604,307,305,300,302,290,392
601,314,308,305,297,290,385
605,310,303,300,303,295,384
602,306,303,305,305,304,375
606,308,307,304,294,289,392
606,310,303,300,300,294,387
605,307,307,300,297,297,387
605,306,297,300,298,301,393
604,306,306,301,297,296,390
611,307,301,301,293,288,399
606,308,302,303,298,291,392
605,305,307,307,303,300,373
607,308,305,306,298,299,377
609,307,302,299,299,281,403
607,311,302,302,294,294,390
608,310,301,303,301,295,382
608,306,303,300,298,298,387
605,310,306,302,303,300,374
614,312,304,302,302,300,366
605,310,307,301,300,284,393
601,309,301,301,300,287,401
601,308,304,304,300,299,384
609,308,298,301,300,285,399
609,306,307,301,300,294,383
608,311,301,303,296,298,383
607,308,305,299,300,291,390
605,306,304,304,299,297,385
604,307,300,304,298,302,385
602,308,307,299,302,297,385
605,310,305,307,296,293,384
609,307,305,301,302,296,380
606,305,304,301,300,290,394
610,307,302,303,293,296,389
607,310,305,305,299,298,376
612,307,307,301,301,295,377
601,302,309,303,303,294,388
606,310,305,302,302,301,374
608,308,302,305,302,298,377
610,308,307,302,302,299,372
608,305,304,299,299,298,387
604,306,304,306,304,297,379
606,309,305,300,293,291,396
607,309,300,308,303,299,374
608,303,308,303,303,290,385
603,311,304,306,298,296,382
611,311,300,303,301,293,381
600,307,306,302,300,298,387
604,309,302,305,298,299,383
602,310,305,299,301,299,384
604,305,300,304,300,295,392
608,307,303,300,295,290,397
610,307,301,303,300,291,388
607,310,302,304,297,286,394
604,313,308,305,300,288,382
613,308,302,307,303,296,371
607,307,307,300,297,298,384
607,311,304,301,299,287,391
604,311,306,301,298,298,382
601,309,302,305,300,301,382
610,307,304,303,297,296,383
602,309,301,303,299,300,386
608,308,300,306,306,294,378
611,307,306,300,306,298,372
610,308,306,306,302,297,371
598,304,300,307,299,295,397
602,311,307,307,296,298,379
599,307,301,302,303,301,387
602,306,299,306,302,296,389
607,310,304,300,298,290,391
603,307,303,297,297,292,401
607,310,305,311,302,295,370
603,303,303,302,302,295,392
605,304,307,298,300,300,386
610,310,305,303,301,299,372
608,302,304,304,299,295,388
611,309,307,300,301,291,381
604,307,304,304,299,299,383
599,307,302,303,306,298,385
602,307,301,303,299,300,388
605,306,308,301,299,295,386
605,303,304,303,302,299,384
606,306,300,303,301,299,385
604,308,304,303,299,289,393
603,305,306,301,300,293,392
608,310,307,302,304,296,373
604,305,301,303,296,293,398
609,307,302,303,300,291,388
610,309,307,300,300,298,376
603,302,302,303,299,300,391
608,309,305,296,298,295,389
609,304,306,298,301,299,383
602,308,310,305,298,296,381
