server,bus1,bus2,bus3,bus4,bus5,cloud
-0.06655838180211601,-0.05750922529861517,-0.05813113813279135,-0.06837615090815162,-0.06164840588272673,-0.05260687558182265,-0.13640007517678646
-0.05959798782508897,-0.05246092833766369,-0.06115083732705471,-0.06197197542813556,-0.05167369175815929,-0.05791646882528625,-0.1273395095634584
-0.06429081536725591,-0.058748006598326366,-0.0641444437802253,-0.05527186849036446,-0.058296343592467735,-0.056272495997475455,-0.1338378493590849
-0.06429698902504646,-0.05767144733116562,-0.0634836307229142,-0.06100572525467056,-0.05772411940048256,-0.06038658604827004,-0.1362397896976252
-0.06134293557705404,-0.06925564183920788,-0.05889785335233964,-0.0648341828475137,-0.05365116290236364,-0.05864897083856936,-0.1373770492368101
-0.06273896627256945,-0.06044664975303089,-0.056687486693123706,-0.06565416962840631,-0.059831875210077594,-0.05856340149012337,-0.14339334927884928
-0.06304077050583572,-0.053625677784223724,-0.06210339090549673,-0.06654381847775202,-0.0639619981425584,-0.056647263224136025,-0.12774141345255546
-0.06731688392619808,-0.05976684617996208,-0.07480214509561078,-0.06584208474079578,-0.06798520799270351,-0.05883571083805348,-0.12047721438634697
-0.06001711343145701,-0.06445283865329128,-0.05056234359285834,-0.061010180550318045,-0.04971887859569719,-0.05399457686706083,-0.13738925775317626
-0.062615663397303,-0.05825267216017652,-0.06020771974135058,-0.056646436002162896,-0.061130998820556774,-0.052102839146007295,-0.14879555597117988
-0.06643370667489937,-0.059645717250895514,-0.05955134810971833,-0.0628141946881443,-0.05849741186948653,-0.0562402972894185,-0.13064808851947518
-0.06336313945092202,-0.06693210279377199,-0.06125921929283294,-0.06638355858293984,-0.07183756872840402,-0.07407205129614239,-0.13864071199893868
-0.06700863132039976,-0.06585854600298534,-0.06081705054807235,-0.0655856930513998,-0.06910318555186898,-0.06438349538262843,-0.12275915597425753
-0.06890872787095925,-0.06582725120391342,-0.06209576881156947,-0.0636828944953644,-0.06275336399975857,-0.06840346329851393,-0.13608787517342652
-0.0649645099002787,-0.06560131536133058,-0.06344857735954242,-0.05705776904356596,-0.05588938191385424,-0.0642068805649136,-0.13407888580122704
-0.06957827805964861,-0.06361265901773164,-0.06617514706501756,-0.06365743083277738,-0.06605617124058419,-0.060736987096243505,-0.1330757011722253
-0.07151149111958152,-0.06377338979810067,-0.06483802234122393,-0.059707153452474244,-0.062949418730919,-0.0643149336349303,-0.12797777044642128
-0.07172834602741288,-0.06359726266302378,-0.06892509165191081,-0.0664495671981305,-0.059784438140371,-0.07335167132309556,-0.13257994616498947
-0.063763624017903,-0.04463629088197877,-0.057847167815813214,-0.06137421972181664,-0.07134386384512512,-0.05365822205139116,-0.13926639587055303
-0.06906986289102401,-0.06050450719308756,-0.06692813011930607,-0.05392375993114388,-0.07005420509655054,-0.06237991478698817,-0.14353914692835593
-0.06133861129675017,-0.06349167440090092,-0.062211789224916686,-0.062268094772738286,-0.05478585185299602,-0.06151799455840479,-0.13400287161913846
-0.0671049148950574,-0.06568146112041114,-0.06541829681947028,-0.05826793720399728,-0.06124252598118336,-0.060521974169741685,-0.12811184154402858
-0.05535639318065954,-0.05176826241527785,-0.053519804484108674,-0.05879991696582616,-0.054299932172235436,-0.057032795251957924,-0.12985665157369908
-0.06701924583067079,-0.058210547992705475,-0.05740012858517452,-0.06753435759969616,-0.06254455995940651,-0.06177485229433668,-0.13255821077486413
-0.06528882312973695,-0.06279072405243441,-0.05894147067006022,-0.050934814366667205,-0.05907316947803043,-0.0564747208751918,-0.1332661169262408
