server,bus1,bus2,bus3,bus4,bus5,cloud
588,314,313,305,308,316,356
577,309,308,305,310,309,382
583,309,303,310,308,310,377
577,305,310,309,307,312,380
579,306,310,306,307,310,382
583,310,306,312,313,313,363
579,307,309,311,304,310,380
576,308,304,309,310,311,382
579,303,311,309,311,310,377
576,307,308,309,308,311,381
579,308,312,308,305,313,375
581,310,313,310,303,308,375
576,316,311,311,309,303,374
581,305,312,307,309,310,376
577,302,308,307,310,309,387
580,309,304,307,307,310,383
579,305,311,306,307,306,386
571,306,307,309,311,304,392
583,307,304,309,301,308,388
578,312,309,309,304,308,380
578,309,310,309,311,311,372
580,311,309,308,310,310,372
577,306,308,306,306,311,386
577,309,311,308,310,311,374
585,307,307,305,315,307,374
579,306,307,308,309,312,379
576,309,310,312,307,310,376
582,308,308,310,311,315,366
579,312,309,309,307,305,379
575,307,308,308,308,309,385
577,308,310,306,308,311,380
578,310,309,311,305,305,382
577,308,310,305,310,309,381
578,307,309,316,312,304,374
578,313,308,308,305,310,378
578,307,311,308,305,311,380
581,311,307,303,307,311,380
573,306,309,306,312,308,386
580,308,312,308,309,306,377
587,308,309,310,307,305,374
575,307,308,308,309,304,389
579,309,307,306,314,310,375
577,306,313,310,312,309,373
583,304,309,309,312,309,374
579,307,307,311,304,304,388
578,311,315,310,309,312,365
580,308,302,312,313,311,374
578,309,310,309,312,313,369
577,307,306,311,307,306,386
581,310,310,309,310,306,374
583,308,306,302,307,309,385
584,309,308,308,308,312,371
579,308,306,308,308,312,379
583,314,312,307,306,306,372
578,310,309,310,308,310,375
572,307,312,309,307,307,386
577,306,308,311,307,312,379
574,305,307,313,307,309,385
576,308,307,303,311,307,388
576,307,308,310,311,305,383
580,304,304,309,312,311,380
582,307,303,311,310,307,380
586,310,309,312,309,312,362
581,311,312,305,311,311,369
582,308,311,313,306,310,370
582,304,312,305,312,307,378
580,311,306,307,308,312,376
576,308,309,308,309,309,381
578,309,311,313,306,308,375
576,308,306,311,311,308,380
576,312,312,309,307,308,376
583,310,308,312,309,309,369
583,308,309,315,314,303,368
578,309,308,309,307,305,384
583,312,314,309,307,308,367
573,309,304,311,308,312,383
580,306,308,309,306,309,382
575,308,310,310,309,311,377
572,308,303,310,306,308,393
576,308,315,315,314,313,359
579,308,305,305,308,313,382
576,307,306,311,307,308,385
577,310,309,308,313,309,374
574,307,310,308,311,307,383
575,309,306,311,312,318,369
583,313,306,306,309,305,378
576,314,305,306,314,307,378
578,302,310,308,309,308,385
581,312,308,303,311,307,378
575,308,309,307,310,310,381
581,308,309,308,308,307,379
577,311,308,309,308,310,377
578,303,311,307,307,311,383
583,312,308,313,307,310,367
575,305,308,309,308,306,389
576,307,315,310,310,309,373
577,309,311,310,310,308,375
577,306,308,308,310,307,384
580,304,306,312,309,305,384
578,306,305,310,310,311,380
585,310,307,310,305,311,372
