server,bus1,bus2,bus3,bus4,bus5,cloud
-0.1098327348971853,-0.09579263813265518,-0.11175918477063325,-0.10740477377422988,-0.09612031165539087,-0.09702090781863337,-0.14271933466794934
-0.10444127495076228,-0.10424674936354328,-0.10540750792799439,-0.11237356559320129,-0.11990401838889743,-0.10372219418128185,-0.14166632320265932
-0.11150450263436111,-0.11081996576326406,-0.10045624494200313,-0.0972412438098004,-0.09173052495196794,-0.09580977769030048,-0.14971068232332094
-0.11427738221239271,-0.11692031666708155,-0.10483726915972955,-0.10204866379288136,-0.10182166883652267,-0.10369512300992764,-0.15028645240693547
-0.10469879300471326,-0.10085568499909864,-0.11116187015639797,-0.10513366128027428,-0.10894249632233718,-0.10595666486741612,-0.14984871726940813
-0.11190952661267285,-0.09576494068004651,-0.10203807816126531,-0.10266171473119796,-0.10502483446458043,-0.11298270760764957,-0.14731548797146315
-0.11069340756350851,-0.10452020437259205,-0.10263756360938509,-0.11150863802582685,-0.09197184764224009,-0.10467069743569396,-0.1452620944359182
-0.10497978642328609,-0.10637070328243116,-0.10490544528799085,-0.11335343852436805,-0.10464948102579208,-0.1147552028590985,-0.14998730813234185
-0.117388974484072,-0.10497880831851804,-0.10447446615628274,-0.0980962435311803,-0.10335887731034069,-0.10584403392100085,-0.15263029539313736
-0.10407356037003074,-0.10549767706011373,-0.1097505712612521,-0.10692174348226804,-0.10933506477249788,-0.11135143941665666,-0.14762821110907773
-0.11172422542610308,-0.10296197438591242,-0.10611807683100814,-0.1089330844530553,-0.09573693607739926,-0.10393276104066303,-0.14209857597829897
-0.11161055508276146,-0.1030076105790196,-0.10191598707759639,-0.10786792680613429,-0.10157292024478556,-0.10042555304334079,-0.14830821812862188
-0.11038244969987505,-0.11019938677869581,-0.11098424651468518,-0.10695607314085652,-0.10501795062917785,-0.09886186915421655,-0.14630151005431846
-0.10890947497078744,-0.1030325154020004,-0.10801102696768765,-0.10185092289657842,-0.11487873421264401,-0.10246275933463489,-0.14448645371141705
-0.1041015790025151,-0.09934800660550813,-0.10115849035625138,-0.0941343040344142,-0.10129876964504177,-0.11273597307190926,-0.14433618880933247
-0.10843995871723308,-0.10023363191905157,-0.09702302724017331,-0.09878581091806338,-0.10228657669232132,-0.10315427586788618,-0.14395198728025158
-0.11849067126576261,-0.1187877122686432,-0.11133649831709405,-0.110963463675482,-0.1122780857396418,-0.11193928141798838,-0.1418009237338571
-0.1053021965404973,-0.110722346051869,-0.10536348255313994,-0.1005546784655204,-0.10144373937134908,-0.10369839658654438,-0.14842558318925175
-0.10395282433687004,-0.10552153394183326,-0.1093045991750297,-0.09515099684921768,-0.09788222742677162,-0.09433608769015402,-0.1468962397210638
-0.10746457730302572,-0.1067183923256812,-0.10237843258838307,-0.10523322183939111,-0.09497344060473535,-0.10758836423513944,-0.1436024230650432
-0.11795646488515973,-0.109552605275412,-0.10948256236954396,-0.11071740461774754,-0.10179782992838496,-0.11701038048036662,-0.1491622186322925
-0.1072073768276987,-0.10984995296872803,-0.10962025252929102,-0.10481661782007626,-0.11257236669244491,-0.11074850663649305,-0.14030369444405394
-0.1037407026969298,-0.10497888206607295,-0.10727786672741037,-0.09708456133230227,-0.09981235970906667,-0.10448663594403265,-0.1448197902633329
-0.11109698630355903,-0.104227916807178,-0.1126294683351584,-0.11702246225468593,-0.10657429339516457,-0.10104818460847217,-0.14358517552594188
-0.1204392684664072,-0.0981085283833567,-0.10337258506931932,-0.10605329683575873,-0.10303251213679282,-0.10030508821954712,-0.1458757303490878
-0.11495208081868784,-0.10933744621641693,-0.10989435823836163,-0.10834197975310733,-0.10591559603307597,-0.10549081121530836,-0.15030226358740637
-0.11066824676960108,-0.09880723297200486,-0.10018805282090121,-0.10305180651507723,-0.10262083516292317,-0.1070762223792838,-0.1432705983378858
-0.10694606370967989,-0.10211889379496207,-0.10472495883749137,-0.10507500432278362,-0.11068179768890597,-0.11295687652622699,-0.14041134744732514
-0.10710247830216925,-0.10581824122530427,-0.09828933348627707,-0.09954932626688968,-0.09527907434086602,-0.1065544587486326,-0.1475479834310706
-0.10767150788580004,-0.09689708066386923,-0.10551271829349519,-0.10583721819370868,-0.09435922422704503,-0.11059359383197051,-0.14525966132358104
-0.10888039659576842,-0.09757604580988274,-0.09972553989898579,-0.11181601732141035,-0.10315618894785136,-0.10183204462783875,-0.14922863551134985
-0.11823215062036968,-0.1155832701084203,-0.09959188494452738,-0.09895651634852616,-0.10965102766309645,-0.1061861350047491,-0.13958357067792193
-0.11435150315989608,-0.11065771585951026,-0.09450671091956328,-0.09965367763525378,-0.10633577487356598,-0.10881395891252436,-0.1472534079691975
-0.10785484406314205,-0.10075213143179565,-0.0993404903772579,-0.10903488281922862,-0.10548838495176377,-0.10511677149902955,-0.14124557717046463
-0.12522552433492734,-0.109262598234266,-0.11589144756440685,-0.10185485247128004,-0.11481673333217336,-0.10022059613992423,-0.1469935215766533
-0.11462191628301456,-0.10848939774734499,-0.10752458747570647,-0.10573187388462574,-0.10857197064583748,-0.10532513937855228,-0.14630430297984354
-0.10780288623875998,-0.11590607301203444,-0.1085470232530448,-0.11530694480636451,-0.10296370083632174,-0.11596857419219822,-0.14641536195574695
-0.10915633765087251,-0.10347324622474145,-0.0945870293821719,-0.09761072039004878,-0.09042982170552609,-0.1188918972447506,-0.15299664138533428
-0.11566219339675674,-0.11057202463665658,-0.11067867909873452,-0.10496373193006271,-0.1008577109051025,-0.11404890103839768,-0.14805990566447774
-0.1035720674879903,-0.10383914995693533,-0.10142788781167023,-0.09558582409650476,-0.10420613282640799,-0.111764445997392,-0.1473344202441731
-0.11492668556764557,-0.09949051680067764,-0.11428908943481693,-0.10394195134306997,-0.09909668281351758,-0.11652292142627527,-0.14576721130088943
-0.10833089047330595,-0.10206553869246304,-0.10360277318197711,-0.11049668665500338,-0.10810439612013946,-0.11324289959163457,-0.143760189384378
-0.12147688068261871,-0.11877417997947062,-0.1022107367587309,-0.1125429178786056,-0.0960117654764113,-0.10806933519861593,-0.14584110649332316
-0.10480200522636675,-0.10706603083655022,-0.10060731217804629,-0.11612546403187757,-0.10287983267783735,-0.10691866122778473,-0.14384597402178123
-0.10515581016082937,-0.11053244008347478,-0.09825594140618812,-0.10577627665331829,-0.09617548776898269,-0.09677173821825219,-0.14945371631660692
-0.11205784050076512,-0.08982462138081951,-0.10600576362129228,-0.11593447405652302,-0.10068342595275064,-0.11189985908587512,-0.15098703667770846
-0.10332321282110671,-0.10754563386068616,-0.09545339934230364,-0.10697399472415646,-0.0961988822360656,-0.1019961104394859,-0.14346868894661566
-0.11162363211312906,-0.11501915778254385,-0.11149898045977447,-0.10777195391492234,-0.10412652186670807,-0.09700248865270926,-0.15023895425833883
-0.12259957762420035,-0.10532426276647215,-0.11518379566354146,-0.11061887318280175,-0.11049248209168488,-0.11019795965050223,-0.15080948240307282
-0.10069501176365446,-0.11749285634700667,-0.10344707271977671,-0.1183829917788831,-0.11396429891585495,-0.09947818967989289,-0.1519900570823489
-0.11542546967086684,-0.1071556169421077,-0.09836055600140177,-0.11494968580829283,-0.11021144595272422,-0.11292975358505783,-0.14402443235835344
-0.10826829852265744,-0.10422350800831655,-0.10603806095835745,-0.10920926121905983,-0.0972970443090446,-0.11005267144996794,-0.14669450687838498
-0.1124560454018673,-0.10623785621578012,-0.09907212851723471,-0.10002470643347325,-0.09757339623041913,-0.09906478009379267,-0.14883504120423843
-0.10019340964508591,-0.10657218296514873,-0.10001802863716223,-0.10550828100469306,-0.10198033453467421,-0.10252828009214174,-0.14517831170505693
-0.10855700850297942,-0.10985194769494518,-0.11561946211391237,-0.11051029000840704,-0.11759840725376512,-0.10282014552683708,-0.14431281135477583
-0.10763731426143375,-0.10797924491041654,-0.10206548347678591,-0.09731026136247728,-0.11186541981842803,-0.10945898883638178,-0.1488045751756547
-0.11454623559097236,-0.10990300957157917,-0.10738952923741414,-0.09743479619610369,-0.10857310472085244,-0.11250322670385401,-0.14621353809558432
-0.1130335273864351,-0.11341532426503487,-0.1131568938280022,-0.1025029389704944,-0.09629605938388376,-0.11133036032560455,-0.13595679757776255
-0.11293348538914463,-0.0967331197740812,-0.10265021083617015,-0.11431648222069263,-0.09990567760764461,-0.0999302242359425,-0.14469227877273758
-0.1011399449600936,-0.10618050598997976,-0.10484048434573878,-0.11245516085905141,-0.11365188344970184,-0.10463332431564538,-0.1412935895354041
-0.11384066916108532,-0.11236528809756437,-0.09787455085824524,-0.10102726801346322,-0.11236002882646826,-0.10640582673855116,-0.1510818450687343
-0.10270743087890644,-0.09886110087328304,-0.10380061657069285,-0.11032752677895091,-0.09716073645857354,-0.10403544976878452,-0.14468697925970078
-0.10993655758156472,-0.1056679521398835,-0.10827140312224531,-0.1055339161276163,-0.09914703376616817,-0.10003705483110967,-0.14345249246203512
-0.11665361942635173,-0.10362382661278169,-0.1036722175338351,-0.10142021741129686,-0.10650211539355386,-0.10277309824376617,-0.14740467575882182
-0.11017462401183527,-0.11575116583584934,-0.11712316302417722,-0.10325953296486932,-0.10685772107012653,-0.10970371054391763,-0.14841314338144795
-0.1042196524805377,-0.10514633462774252,-0.1090255628578793,-0.11222402003296598,-0.10433007441882325,-0.10192080654183445,-0.14807184354361838
-0.1156610595086854,-0.11143689012246605,-0.09532070366891311,-0.10198898378267833,-0.11234076725967378,-0.10673857072111749,-0.14163854698642706
-0.11148838245926475,-0.09879776143442483,-0.10597858227382125,-0.1024262522438708,-0.11172996888887209,-0.10541947035789076,-0.14563274111048213
-0.10935974308323462,-0.10770727250154065,-0.1018782356695578,-0.10475352032496149,-0.10462798740582113,-0.09811571791621278,-0.14722808766965115
-0.11097404427342293,-0.10812889928762164,-0.10253380064097616,-0.11660680594179158,-0.10314422249755904,-0.10965943517250061,-0.14660243751648216
-0.10570375319436272,-0.0962304943072815,-0.11221377617358924,-0.11311859923925167,-0.10658750922988283,-0.11682557320409329,-0.14483813065407858
-0.11037008612784095,-0.10989300331379713,-0.09919909786593938,-0.10135048282420031,-0.10324067631382505,-0.10832337141535683,-0.14331094444778844
-0.10861413776829985,-0.10229552380674208,-0.11274798010314781,-0.10633902118381786,-0.11262852459079806,-0.10323055651329902,-0.14957525984317524
-0.10972138519836773,-0.09425429279563126,-0.09550948023318942,-0.10384826534524474,-0.11449438366610173,-0.10878871870392129,-0.15435208860912075
-0.11744379704348651,-0.10908693569313668,-0.11760835235868146,-0.11243746001187681,-0.10751337086465099,-0.10977446278120626,-0.1434657224979283
-0.10964619981761609,-0.10895630866396655,-0.10947307713487912,-0.09952318694175671,-0.10457170029148764,-0.10966933706363283,-0.1457344124641612
-0.10476307846680302,-0.12116442206721503,-0.11789722331183107,-0.12061362574531624,-0.1098931722739231,-0.09719306258454892,-0.14900368691196683
-0.10892856799398509,-0.10286845551491008,-0.10261597547405532,-0.08024732672367746,-0.09689228825228398,-0.10225193849647393,-0.14439761835401552
-0.10972052846752102,-0.10312768045267452,-0.1070516803817472,-0.09720882830068318,-0.1067639904158242,-0.10941362231240354,-0.14123108705410642
-0.11817056946719008,-0.1280182402624876,-0.10604535262428712,-0.11120374419043759,-0.0944385912311604,-0.11394693793607164,-0.1491461583588307
-0.11361586561738815,-0.10367086155050625,-0.10259413687114088,-0.09862898321754836,-0.09773002611190997,-0.10595434881251596,-0.14913338925710892
