server,bus1,bus2,bus3,bus4,bus5,cloud
601,325,327,330,328,324,5265
590,325,319,322,324,321,5299
591,324,320,321,323,319,5302
597,321,321,322,322,322,5295
592,321,318,320,320,320,5309
595,325,319,326,324,323,5288
599,321,321,319,319,323,5298
597,322,320,322,319,316,5304
596,318,322,316,322,325,5301
596,324,325,319,327,319,5290
591,320,327,321,319,324,5298
588,319,320,318,324,324,5307
587,323,323,318,321,323,5305
589,318,324,322,322,321,5304
594,323,323,324,323,324,5289
593,320,323,326,323,318,5297
589,318,316,321,324,322,5310
591,323,321,318,321,321,5305
588,319,324,324,318,319,5308
591,318,322,323,322,324,5300
594,321,323,322,320,328,5292
594,323,321,324,320,322,5296
597,324,322,325,323,318,5291
599,322,323,319,325,320,5292
590,320,323,322,320,325,5300
590,322,323,326,318,317,5304
587,318,323,322,323,323,5304
590,321,318,325,316,323,5307
583,323,322,323,324,320,5305
591,322,325,324,321,320,5297
595,324,319,321,323,320,5298
588,322,325,320,320,322,5303
596,320,325,320,321,323,5295
583,323,321,320,325,319,5309
594,321,324,324,323,320,5294
589,323,323,323,321,325,5296
596,320,326,318,324,321,5295
595,320,319,324,322,320,5300
596,325,321,323,322,318,5295
597,323,320,326,321,319,5294
600,318,321,323,319,322,5297
599,320,327,323,320,324,5287
595,322,318,323,320,322,5300
588,315,322,322,315,321,5317
596,325,325,322,313,321,5298
592,320,324,322,324,320,5298
595,321,324,325,323,319,5293
591,322,321,318,322,317,5309
593,326,320,320,325,325,5291
589,322,326,325,319,322,5297
596,322,321,323,322,319,5297
591,324,324,322,324,319,5296
586,323,324,326,320,322,5299
593,318,318,323,314,320,5314
594,320,320,322,324,321,5299
587,322,321,321,323,320,5306
591,323,322,324,325,320,5295
593,320,323,324,317,321,5302
593,322,318,320,322,322,5303
590,325,323,322,325,324,5291
595,325,325,326,323,324,5282
588,324,319,320,323,322,5304
591,326,320,321,320,320,5302
595,326,322,320,322,321,5294
591,323,322,323,323,324,5294
592,321,324,318,325,322,5298
594,320,321,327,323,323,5292
595,326,325,321,323,322,5288
589,321,318,324,323,323,5302
593,322,325,317,322,321,5300
593,322,320,323,320,322,5300
594,322,321,323,325,317,5298
593,323,322,319,322,321,5300
588,324,320,318,321,324,5305
591,317,322,318,325,321,5306
598,317,323,323,321,321,5297
591,322,322,321,321,320,5303
587,319,325,323,323,319,5304
589,325,325,321,320,322,5298
590,326,315,323,319,323,5304
593,316,323,323,322,320,5303
