server,bus1,bus2,bus3,bus4,bus5,cloud
369,80,0,186,180,182,203
363,73,0,189,187,191,197
362,1,0,188,188,181,280
364,0,0,192,192,193,259
363,0,0,189,188,188,272
363,0,0,188,189,190,270
364,46,0,191,186,187,226
361,67,0,189,191,187,205
360,150,0,186,185,183,136
363,30,0,191,191,189,236
362,96,0,187,191,189,175
361,135,0,187,186,182,149
369,91,0,164,160,150,266
363,0,0,181,175,171,310
365,0,0,172,176,171,316
363,0,0,180,182,179,296
361,0,0,184,185,182,288
363,0,17,189,186,188,257
366,0,3,185,183,184,279
362,0,111,187,185,181,174
356,0,181,177,174,174,138
359,5,166,182,184,179,125
363,104,180,150,134,117,152
358,175,186,135,118,102,126
363,133,189,148,139,126,102
355,189,184,148,140,127,57
353,181,179,159,148,139,41
356,180,173,163,156,147,25
353,160,170,174,167,161,15
357,155,151,178,172,171,16
356,86,175,182,182,175,44
353,124,161,177,176,171,38
356,82,182,174,172,170,64
360,106,186,136,125,114,173
362,56,187,155,144,134,162
369,109,194,0,0,0,528
366,187,189,12,3,1,442
365,194,180,0,0,0,461
366,191,182,0,0,0,461
369,195,185,0,0,0,451
366,193,187,0,0,0,454
361,194,189,0,0,0,456
367,192,185,23,16,11,406
356,184,176,147,134,126,77
359,188,180,120,113,96,144
356,156,182,145,136,129,96
359,87,184,161,155,145,109
357,0,190,144,141,130,238
361,22,183,161,149,143,181
370,0,182,94,66,50,438
370,0,187,0,0,0,643
375,39,183,0,0,0,603
371,86,176,0,0,0,567
368,177,171,0,0,0,484
367,171,188,0,0,0,474
366,180,189,0,0,0,465
367,168,185,0,0,0,480
368,172,182,0,0,0,478
363,169,190,6,2,0,470
366,171,188,41,13,5,416
358,137,185,113,92,78,237
357,83,157,181,177,169,76
362,70,140,185,190,185,68
355,77,138,184,188,185,73
361,75,128,185,187,186,78
353,87,146,182,183,176,73
362,119,0,187,187,186,159
359,129,15,189,191,187,130
353,92,115,187,184,187,82
365,166,0,166,156,150,197
360,136,0,185,184,186,149
367,190,73,55,34,24,457
367,189,22,21,10,2,589
364,171,54,124,92,76,319
360,161,130,149,134,128,138
356,138,97,174,168,164,103
360,124,91,183,179,182,81
362,115,86,182,188,185,82
356,123,0,187,189,187,158
358,116,46,187,186,190,117
362,133,0,188,191,183,143
361,131,0,185,188,180,155
361,129,0,183,180,179,168
368,156,0,89,90,91,406
367,176,0,86,75,67,429
377,176,0,0,0,0,647
369,180,43,0,0,0,608
376,183,11,0,0,0,630
372,181,0,0,0,0,647
366,178,190,14,7,3,442
356,126,97,165,164,151,141
358,139,188,138,126,107,144
361,44,187,147,136,115,210
364,0,190,135,113,84,314
365,2,190,158,152,149,184
367,104,194,0,0,0,535
365,143,194,1,0,0,497
368,41,194,35,9,1,552
361,132,192,60,29,8,418
366,113,132,104,78,55,352
