server,bus1,bus2,bus3,bus4,bus5,cloud
-0.13236358742425314,-1.0163188644726173,-1.4510486529298279,-2.2408741069826457,-0.8756858410731365,-2.1576647914017153,-0.16054027716986352
-0.07787890226463201,-0.012523240556145326,-0.903985010426,-0.08846939423738943,-0.11471431984376045,0.0,-0.08868607729161512
-0.02679590588392844,-0.0873726385162281,-1.1201924884305345,-0.08406548934007682,-0.11544813013679486,-0.0019704783466338986,-0.06855450436105769
-0.016084181164171516,-0.12508323056599374,-0.10853778089792725,-0.040290085065770975,-0.0735397414407283,-0.00307629537615429,-0.03635556532260397
-0.04523112479414347,-0.23031691533069926,-0.1610320864471982,-0.05548446270821666,-0.10366951691885841,-0.08708112934834918,-0.04767319013616052
-0.05051055199395185,-0.19114184479187896,-0.34460042298861704,-0.07757311449260268,-0.06957090273836306,-0.08778298085774955,-0.06072230608210896
-0.04135975762209745,-0.09860494461507989,-0.4891737011349053,-0.06334680399977753,-0.07980916648621925,-0.1288011452831049,-0.06944119199506174
-0.0586360650723445,-0.025509169161514734,-0.6269809465139518,-0.09300050336268627,-0.08269950693369349,-0.08856903479631797,-0.06174481171961203
-0.03447897608233816,-0.09719175097242705,-0.800634553278886,-0.048485297641756894,-0.05187359935664434,-0.03631102404322331,-0.07016413378001744
-0.031119731278365724,-0.03588180318563951,-0.9823718383964762,-0.048553724295214234,-0.06912836293610358,-0.04156283579294128,-0.05412773849544674
-0.02269119088452683,-0.05612469618790263,-1.2955847601331927,-0.04274892592679027,-0.04008099202801354,-0.0311408618237236,-0.04292772349876078
-0.03274761205056108,-0.028929892172473166,-0.27248598410233354,-0.0395918460507365,-0.0297314909896683,-0.020219741502052833,-0.03177056324732808
-0.0374526760367955,-0.15543713949963525,-0.11409478539294461,-0.07587389162460263,-0.08475117061690968,-0.059457841390661764,-0.054516214144159185
-0.033492450205113426,-0.3048239519073124,-0.07189593604053261,-0.0617693320913932,-0.07265480586585028,-0.07111662474304979,-0.06793313998658054
-0.061728125499260954,-0.3481434036385642,-0.20086317165964282,-0.0731409641092317,-0.06745632483128775,-0.058428549368810166,-0.08606482327725343
-0.0428053534723608,-0.8276108892742038,-0.09282690501667366,-0.048313630923830966,-0.04948032254439816,-0.07945290896305356,-0.10820781178301046
-0.057119199371091486,-0.7609968229116084,-0.18925646903453175,-0.0747012905529065,-0.04758056455724426,-0.06887700881681179,-0.08407100198815085
-0.04183872470563692,-0.594435766788082,-0.03184096996895324,-0.0594135507547146,-0.07452588934745501,-0.047879615859560416,-0.06605978865408074
